State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),50,51.2
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),50.5,52.7
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,55.8,53
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,50.3,52.8
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,54.9,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.8,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),8.3,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),7.5,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),5.4,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.2,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),7.8,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Characteristics of Women,Women who are literate (%),63.6,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Characteristics of Women,Women with 10 or more years of schooling (%),31.3,30.8
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),3.9,16.3
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),0.3,0.6
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),4,4.5
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),36,40.3
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),40.6,39.3
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),19.3,15.2
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),54.7,51.3
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),71.6,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),2.9,16.4
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),81.8,76.3
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),96.6,82.7
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.2,94.7
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.7,79.5
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),81.8,83.2
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),75,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),95.7,98.3
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),92.9,89.2
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),91.8,94.2
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),17.8,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),75.7,68.8
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Current Use of Family Planning Methods,Any method (%),67.6,65.3
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Current Use of Family Planning Methods,Any modern method (%),67.6,65.3
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Current Use of Family Planning Methods,Condom (%),0.1,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Current Use of Family Planning Methods,Female sterilization (%),67.2,65
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Current Use of Family Planning Methods,Injectables (%),0,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Current Use of Family Planning Methods,IUD/PPIUD (%),0,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Current Use of Family Planning Methods,Male sterilization (%),0,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Current Use of Family Planning Methods,Pill (%),0,0
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Delivery Care,Births attended by skilled health personnel (%),98.3,89.1
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Delivery Care,Births delivered by caesarean section (%),22.2,27.6
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),37,48.9
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),15.7,14.1
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Delivery Care,Home births that were conducted by skilled health personnel (%),2.8,4.4
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Delivery Care,Institutional births (%),94.7,89.9
Andhra Pradesh,28,Anantapur,Anantapur_12,12,Delivery Care,Institutional births in public facility (%),60.3,46.9
