State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),42.2,42.2
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),35.9,34.6
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,57.1,61.6
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,36.9,34.8
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,19.7,31.8
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.3,0
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),10.7,0
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),7.4,0
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),4,0
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13,0
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),8.7,0
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Characteristics of Women,Women who are literate (%),66.4,0
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Characteristics of Women,Women with 10 or more years of schooling (%),28.8,26.1
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),28.7,16.7
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),2.9,4.9
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),7.5,10.1
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),23.6,21
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),16,10.4
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),14.3,18.3
Arunachal Pradesh,12,Anjaw,Anjaw_16,16,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),66.5,53.9
