State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Assam,18,Baksa,Baksa_25,25,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),76.6,48.3
Assam,18,Baksa,Baksa_25,25,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),73.6,53.4
Assam,18,Baksa,Baksa_25,25,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,78.6,39
Assam,18,Baksa,Baksa_25,25,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,73.8,53.6
Assam,18,Baksa,Baksa_25,25,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,65.3,46.8
Assam,18,Baksa,Baksa_25,25,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.1,0
Assam,18,Baksa,Baksa_25,25,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),6.3,0
Assam,18,Baksa,Baksa_25,25,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),9.4,0
Assam,18,Baksa,Baksa_25,25,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),8.7,0
Assam,18,Baksa,Baksa_25,25,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.4,0
Assam,18,Baksa,Baksa_25,25,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),4,0
Assam,18,Baksa,Baksa_25,25,Characteristics of Women,Women who are literate (%),74.8,0
Assam,18,Baksa,Baksa_25,25,Characteristics of Women,Women with 10 or more years of schooling (%),27.8,28.1
Assam,18,Baksa,Baksa_25,25,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),12.6,12.8
Assam,18,Baksa,Baksa_25,25,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),69.4,0
Assam,18,Baksa,Baksa_25,25,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),8.6,2.3
Assam,18,Baksa,Baksa_25,25,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),6.2,2.7
Assam,18,Baksa,Baksa_25,25,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),41.2,32.4
Assam,18,Baksa,Baksa_25,25,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),34,22.4
Assam,18,Baksa,Baksa_25,25,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),17,10.5
Assam,18,Baksa,Baksa_25,25,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),34.9,74.3
Assam,18,Baksa,Baksa_25,25,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),60.6,62.9
Assam,18,Baksa,Baksa_25,25,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Assam,18,Baksa,Baksa_25,25,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),14,12.6
Assam,18,Baksa,Baksa_25,25,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),70.5,59.1
Assam,18,Baksa,Baksa_25,25,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),67.3,64.9
Assam,18,Baksa,Baksa_25,25,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.2,82.6
Assam,18,Baksa,Baksa_25,25,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),68.3,60.2
Assam,18,Baksa,Baksa_25,25,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),78.3,64.8
Assam,18,Baksa,Baksa_25,25,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),53.8,0
Assam,18,Baksa,Baksa_25,25,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),93.6,91.6
Assam,18,Baksa,Baksa_25,25,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),91.9,81.3
Assam,18,Baksa,Baksa_25,25,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100,97.2
Assam,18,Baksa,Baksa_25,25,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),26.6,0
Assam,18,Baksa,Baksa_25,25,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),55.8,60
Assam,18,Baksa,Baksa_25,25,Current Use of Family Planning Methods,Any method (%),59.2,58.1
Assam,18,Baksa,Baksa_25,25,Current Use of Family Planning Methods,Any modern method (%),47.3,38.5
Assam,18,Baksa,Baksa_25,25,Current Use of Family Planning Methods,Condom (%),2.7,1.5
Assam,18,Baksa,Baksa_25,25,Current Use of Family Planning Methods,Female sterilization (%),7.1,8
Assam,18,Baksa,Baksa_25,25,Current Use of Family Planning Methods,Injectables (%),0,0
Assam,18,Baksa,Baksa_25,25,Current Use of Family Planning Methods,IUD/PPIUD (%),3.3,4
Assam,18,Baksa,Baksa_25,25,Current Use of Family Planning Methods,Male sterilization (%),0,0
Assam,18,Baksa,Baksa_25,25,Current Use of Family Planning Methods,Pill (%),33.5,24.4
Assam,18,Baksa,Baksa_25,25,Delivery Care,Births attended by skilled health personnel (%),92.1,89.3
Assam,18,Baksa,Baksa_25,25,Delivery Care,Births delivered by caesarean section (%),17.6,18.7
Assam,18,Baksa,Baksa_25,25,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),81.7,82.6
Assam,18,Baksa,Baksa_25,25,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),13.8,13.2
