State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Bihar,10,Araria,Araria_7,7,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),64,63.1
Bihar,10,Araria,Araria_7,7,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),67.9,65.6
Bihar,10,Araria,Araria_7,7,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,75.8,61.8
Bihar,10,Araria,Araria_7,7,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,67.7,66.3
Bihar,10,Araria,Araria_7,7,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,70.5,58.4
Bihar,10,Araria,Araria_7,7,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.8,0
Bihar,10,Araria,Araria_7,7,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),7.8,0
Bihar,10,Araria,Araria_7,7,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),10.1,0
Bihar,10,Araria,Araria_7,7,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),6.9,0
Bihar,10,Araria,Araria_7,7,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.6,0
Bihar,10,Araria,Araria_7,7,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),6.4,0
Bihar,10,Araria,Araria_7,7,Characteristics of Women,Women who are literate (%),43.7,0
Bihar,10,Araria,Araria_7,7,Characteristics of Women,Women with 10 or more years of schooling (%),16.8,12.9
Bihar,10,Araria,Araria_7,7,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),13.1,11.9
Bihar,10,Araria,Araria_7,7,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),35.9,30.9
Bihar,10,Araria,Araria_7,7,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),3,0.5
Bihar,10,Araria,Araria_7,7,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),5.2,7.2
Bihar,10,Araria,Araria_7,7,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),49.9,48.4
Bihar,10,Araria,Araria_7,7,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),47.8,45.4
Bihar,10,Araria,Araria_7,7,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),23.9,22.8
Bihar,10,Araria,Araria_7,7,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),30.6,29.6
Bihar,10,Araria,Araria_7,7,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),69,51.2
Bihar,10,Araria,Araria_7,7,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),10.7,0
Bihar,10,Araria,Araria_7,7,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),12.8,10.7
Bihar,10,Araria,Araria_7,7,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),61.6,53.9
