State,ST_CEN_CD,District,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Bihar,10,Araria,7,Population and Household Profile,Female population age 6 years and above who ever attended school (%),53,52.5
Bihar,10,Araria,7,Population and Household Profile,Population below age 15 years (%),40.5,42.7
Bihar,10,Araria,7,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",1094,1110
Bihar,10,Araria,7,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",885,969
Bihar,10,Araria,7,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),59.8,50.5
Bihar,10,Araria,7,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),25.5,0
Bihar,10,Araria,7,Population and Household Profile,Population living in households with electricity (%),96.2,49.9
Bihar,10,Araria,7,Population and Household Profile,Population living in households with an improved drinkingwater source1 (%),100,99.8
Bihar,10,Araria,7,Population and Household Profile,Population living in households that use an improved sanitation facility2 (%),32.2,13.8
Bihar,10,Araria,7,Population and Household Profile,Households using clean fuel for cooking3 (%),15.2,5.2
Bihar,10,Araria,7,Population and Household Profile,Households using iodized salt (%),93.7,95.3
Bihar,10,Araria,7,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),19.5,5.4
Bihar,10,Araria,7,Population and Household Profile,Children age 5 years who attended preprimary school during the school year 201920 (%),8.8,0
Bihar,10,Araria,7,Characteristics of Women,Women who are literate4 (%),43.7,0
Bihar,10,Araria,7,Characteristics of Women,Women with 10 or more years of schooling (%),16.8,12.9
Bihar,10,Araria,7,Marriage and Fertility,Women age 2024 years married before age 18 years (%),52,48.9
Bihar,10,Araria,7,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),6.8,6.1
Bihar,10,Araria,7,Marriage and Fertility,Women age 1519 years who were already mothers or pregnant at the time of the survey (%),13.3,11.2
Bihar,10,Araria,7,Marriage and Fertility,Women age 1524 years who use hygienic methods of protection during their menstrual period5 (%),36.4,17.2
Bihar,10,Araria,7,Current Use of Family Planning Methods,Any method6 (%),46,29.9
Bihar,10,Araria,7,Current Use of Family Planning Methods,Any modern method6 (%),42.8,29.1
Bihar,10,Araria,7,Current Use of Family Planning Methods,Female sterilization (%),36.2,26.2
Bihar,10,Araria,7,Current Use of Family Planning Methods,Male sterilization (%),0,0
Bihar,10,Araria,7,Current Use of Family Planning Methods,IUD/PPIUD (%),0.1,0.2
Bihar,10,Araria,7,Current Use of Family Planning Methods,Pill (%),0.9,1.3
Bihar,10,Araria,7,Current Use of Family Planning Methods,Condom (%),1.7,0.8
Bihar,10,Araria,7,Current Use of Family Planning Methods,Injectables (%),3.2,0.4
Bihar,10,Araria,7,Unmet Need for Family Planning,Total unmet need7 (%),15.9,19.3
Bihar,10,Araria,7,Unmet Need for Family Planning,Unmet need for spacing7 (%),6.4,9
Bihar,10,Araria,7,Quality of Family Planning Services,Health worker ever talked to female nonusers about family planning (%),11,20
Bihar,10,Araria,7,Quality of Family Planning Services,Current users ever told about side effects of current method8 (%),33.9,36.9
Bihar,10,Araria,7,Maternal and Child Health,Mothers who had an antenatal checkup in the first trimester (%),41.6,36.9
Bihar,10,Araria,7,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),25.8,16.2
Bihar,10,Araria,7,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus9 (%),86.4,88.7
Bihar,10,Araria,7,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),17.6,7.9
Bihar,10,Araria,7,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),7.6,1.7
Bihar,10,Araria,7,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),90.6,78.8
Bihar,10,Araria,7,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),46.4,43.2
Bihar,10,Araria,7,Maternal and Child Health,Average outofpocket expenditure per delivery in a public health facility (Rs,3606,2425
Bihar,10,Araria,7,Maternal and Child Health,Children born at home who were taken to a health facility for a checkup within 24 hours of birth (%),2.6,3
Bihar,10,Araria,7,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),48.2,0
Bihar,10,Araria,7,Delivery Care,Institutional births (%),66.2,51.6
Bihar,10,Araria,7,Delivery Care,Institutional births in public facility (%),51.5,44
Bihar,10,Araria,7,Delivery Care,Home births that were conducted by skilled health personnel10 (%),6.5,11
