State,ST_CEN_CD,District,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Chandigarh,4,Chandigarh,1,Population and Household Profile,Female population age 6 years and above who ever attended school (%),86.7,83.7
Chandigarh,4,Chandigarh,1,Population and Household Profile,Population below age 15 years (%),23.3,22.9
Chandigarh,4,Chandigarh,1,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",917,934
Chandigarh,4,Chandigarh,1,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",838,981
Chandigarh,4,Chandigarh,1,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),97.6,95.1
Chandigarh,4,Chandigarh,1,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),93.6,0
Chandigarh,4,Chandigarh,1,Population and Household Profile,Population living in households with electricity (%),99.9,99.6
Chandigarh,4,Chandigarh,1,Population and Household Profile,Population living in households with an improved drinking-water source1 (%),99.1,100
Chandigarh,4,Chandigarh,1,Population and Household Profile,Population living in households that use an improved sanitation facility2 (%),85,83.7
Chandigarh,4,Chandigarh,1,Population and Household Profile,Households using clean fuel for cooking3 (%),95.8,93.9
Chandigarh,4,Chandigarh,1,Population and Household Profile,Households using iodized salt (%),96.8,99
Chandigarh,4,Chandigarh,1,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),32.2,21.3
Chandigarh,4,Chandigarh,1,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.3,0
Chandigarh,4,Chandigarh,1,Characteristics of Women,Women who are literate4 (%),78.7,0
Chandigarh,4,Chandigarh,1,Characteristics of Women,Women with 10 or more years of schooling (%),59.6,59.2
Chandigarh,4,Chandigarh,1,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),64.5,65.9
Chandigarh,4,Chandigarh,1,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),75.2,0
Chandigarh,4,Chandigarh,1,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),91.9,0
Chandigarh,4,Chandigarh,1,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),9.7,12.7
Chandigarh,4,Chandigarh,1,Current Use of Family Planning Methods,Any method6 (%),77.4,74
Chandigarh,4,Chandigarh,1,Current Use of Family Planning Methods,Any modern method6 (%),55.6,58.2
Chandigarh,4,Chandigarh,1,Current Use of Family Planning Methods,Female sterilization (%),19,20.6
Chandigarh,4,Chandigarh,1,Current Use of Family Planning Methods,Male sterilization (%),0.3,1.3
Chandigarh,4,Chandigarh,1,Current Use of Family Planning Methods,IUD/PPIUD (%),4.2,5.4
Chandigarh,4,Chandigarh,1,Current Use of Family Planning Methods,Pill (%),0.5,3.6
Chandigarh,4,Chandigarh,1,Current Use of Family Planning Methods,Condom (%),31.1,27.3
Chandigarh,4,Chandigarh,1,Current Use of Family Planning Methods,Injectables (%),0,0
Chandigarh,4,Chandigarh,1,Unmet Need for Family Planning,Total unmet need7 (%),6.9,6.3
Chandigarh,4,Chandigarh,1,Unmet Need for Family Planning,Unmet need for spacing7 (%),2.5,1.8
Chandigarh,4,Chandigarh,1,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),34,25.1
Chandigarh,4,Chandigarh,1,Quality of Family Planning Services,Current users ever told about side effects of current method8 (%),91.7,62.6
Chandigarh,4,Chandigarh,1,Maternal and Child Health,Mothers who had an antenatal check-up in the first trimester (%),82.3,67.4
Chandigarh,4,Chandigarh,1,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),78.7,64.5
Chandigarh,4,Chandigarh,1,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus9 (%),93.2,95.1
Chandigarh,4,Chandigarh,1,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),73.9,44.9
Chandigarh,4,Chandigarh,1,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),64.5,29.8
Chandigarh,4,Chandigarh,1,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.2,98
Chandigarh,4,Chandigarh,1,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.6,89
Chandigarh,4,Chandigarh,1,Maternal and Child Health,Average out-of-pocket expenditure per delivery in a public health facility (Rs,5546,2357
Chandigarh,4,Chandigarh,1,Maternal and Child Health,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0,0
Chandigarh,4,Chandigarh,1,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.3,0
Chandigarh,4,Chandigarh,1,Delivery Care,Institutional births (%),96.9,91.6
Chandigarh,4,Chandigarh,1,Delivery Care,Institutional births in public facility (%),83.2,72.4
Chandigarh,4,Chandigarh,1,Delivery Care,Home births that were conducted by skilled health personnel10 (%),0.2,1.7
Chandigarh,4,Chandigarh,1,Delivery Care,Births attended by skilled health personnel10 (%),97,93.3
Chandigarh,4,Chandigarh,1,Delivery Care,Births delivered by caesarean section (%),31.3,22.6
Chandigarh,4,Chandigarh,1,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),44.3,44
Chandigarh,4,Chandigarh,1,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),30.4,19.5
Chandigarh,4,Chandigarh,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),80.9,79.5
Chandigarh,4,Chandigarh,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),82.8,93.2
Chandigarh,4,Chandigarh,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),96.8,95.9
Chandigarh,4,Chandigarh,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine13 (%),80.9,79.5
Chandigarh,4,Chandigarh,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.9,95.9
Chandigarh,4,Chandigarh,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),87.9,95.9
Chandigarh,4,Chandigarh,1,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),15,0
Chandigarh,4,Chandigarh,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),84.9,0
Chandigarh,4,Chandigarh,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),84.9,82.7
Chandigarh,4,Chandigarh,1,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.6,56.1
Chandigarh,4,Chandigarh,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),92.9,93.1
Chandigarh,4,Chandigarh,1,Treatment of Childhood Diseases,Children age 12-23 months who received most of their vaccinations in a private health facility (%),7.1,6.9
Chandigarh,4,Chandigarh,1,Treatment of Childhood Diseases,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.3,4.6
Chandigarh,4,Chandigarh,1,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),0,0
Chandigarh,4,Chandigarh,1,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),0,0
Chandigarh,4,Chandigarh,1,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,0
Chandigarh,4,Chandigarh,1,Treatment of Childhood Diseases,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.3,2.8
Chandigarh,4,Chandigarh,1,Treatment of Childhood Diseases,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,0
Chandigarh,4,Chandigarh,1,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth15 (%),63.7,33.5
Chandigarh,4,Chandigarh,1,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed16 (%),0,0
Chandigarh,4,Chandigarh,1,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),0,0
Chandigarh,4,Chandigarh,1,Child Feeding Practices and Nutritional Status of Children,"Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",22.7,0
Chandigarh,4,Chandigarh,1,Child Feeding Practices and Nutritional Status of Children,"Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",0,0
Chandigarh,4,Chandigarh,1,Child Feeding Practices and Nutritional Status of Children,"Total children age 6-23 months receiving an adequate diet16, 17 (%)",19,0
Chandigarh,4,Chandigarh,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height-for-age)18 (%),25.3,28.7
Chandigarh,4,Chandigarh,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight-for-height)18 (%),8.4,10.9
Chandigarh,4,Chandigarh,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight-for-height)19 (%),2.3,3.9
Chandigarh,4,Chandigarh,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight-for-age)18 (%),20.6,24.5
Chandigarh,4,Chandigarh,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight-for-height)20 (%),1.9,1.1
Chandigarh,4,Chandigarh,1,Nutritional Status of Women,Women whose Body Mass Index (BMI) is below normal (BMI <18,13,13.3
Chandigarh,4,Chandigarh,1,Nutritional Status of Women,Women who are overweight or obese (BMI ≥25,44,41.5
Chandigarh,4,Chandigarh,1,Nutritional Status of Women,Women who have high risk waist-to-hip ratio (≥0,60.7,0
