State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Chhattisgarh ,22,Bastar,Bastar_15,15,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),80.3,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),77.2,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,80.7,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,77.1,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,79,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.4,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),4.8,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),4.7,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),4.6,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),3,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Characteristics of Women,Women who are literate (%),52.9,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Characteristics of Women,Women with 10 or more years of schooling (%),25.3,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),10.6,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),5.2,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),9.1,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),48.1,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),45.2,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),20.4,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),42,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),70.6,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),10.6,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),57.3,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),61.1,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),85,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),76,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),61.8,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),24.2,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),93.9,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),81.4,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.9,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),32,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),87.4,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Current Use of Family Planning Methods,Any method (%),54.2,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Current Use of Family Planning Methods,Any modern method (%),47.7,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Current Use of Family Planning Methods,Condom (%),4.9,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Current Use of Family Planning Methods,Female sterilization (%),31.4,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Current Use of Family Planning Methods,Injectables (%),0.2,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Current Use of Family Planning Methods,IUD/PPIUD (%),2.2,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Current Use of Family Planning Methods,Male sterilization (%),0.9,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Current Use of Family Planning Methods,Pill (%),6.1,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Delivery Care,Births attended by skilled health personnel (%),72.6,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Delivery Care,Births delivered by caesarean section (%),6.6,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),46.9,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),5.5,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Delivery Care,Home births that were conducted by skilled health personnel (%),13.8,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Delivery Care,Institutional births (%),63.5,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Delivery Care,Institutional births in public facility (%),56.1,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Hypertension among men,Male Elevated blood pressure or taking medicine to control blood pressure (%),24.1,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Hypertension among men,Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.8,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Hypertension among men,Male Moderately or severely elevated blood pressure (%),5.7,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Hypertension among women,Female Elevated blood pressure or taking medicine to control blood pressure (%),23.7,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Hypertension among women,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.1,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Hypertension among women,Female Moderately or severely elevated blood pressure (%),7.2,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),1.8,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6,0
Chhattisgarh ,22,Bastar,Bastar_15,15,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),53.1,0
