State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Daman & Diu,25,Daman,Daman_2,2,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),63,62.4
Daman & Diu,25,Daman,Daman_2,2,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),60.8,60.3
Daman & Diu,25,Daman,Daman_2,2,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,82.5,74.3
Daman & Diu,25,Daman,Daman_2,2,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,60.8,61
Daman & Diu,25,Daman,Daman_2,2,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,0,0
Daman & Diu,25,Daman,Daman_2,2,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.6,0
Daman & Diu,25,Daman,Daman_2,2,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),7.3,0
Daman & Diu,25,Daman,Daman_2,2,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),7.7,0
Daman & Diu,25,Daman,Daman_2,2,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),4.5,0
Daman & Diu,25,Daman,Daman_2,2,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.8,0
Daman & Diu,25,Daman,Daman_2,2,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),7.1,0
Daman & Diu,25,Daman,Daman_2,2,Characteristics of Women,Women who are literate (%),85.9,0
Daman & Diu,25,Daman,Daman_2,2,Characteristics of Women,Women with 10 or more years of schooling (%),42.9,50.7
Daman & Diu,25,Daman,Daman_2,2,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),13.7,6.8
Daman & Diu,25,Daman,Daman_2,2,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
