State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
NCT of Delhi,7,Central,Central_6,6,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),54.6,0
NCT of Delhi,7,Central,Central_6,6,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),44.6,0
NCT of Delhi,7,Central,Central_6,6,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,70.3,0
NCT of Delhi,7,Central,Central_6,6,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,45.1,0
NCT of Delhi,7,Central,Central_6,6,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,0,0
NCT of Delhi,7,Central,Central_6,6,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.8,0
NCT of Delhi,7,Central,Central_6,6,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),7.9,0
NCT of Delhi,7,Central,Central_6,6,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),6,0
NCT of Delhi,7,Central,Central_6,6,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),4.5,0
NCT of Delhi,7,Central,Central_6,6,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.7,0
NCT of Delhi,7,Central,Central_6,6,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),5.7,0
NCT of Delhi,7,Central,Central_6,6,Characteristics of Women,Women who are literate (%),83.5,0
NCT of Delhi,7,Central,Central_6,6,Characteristics of Women,Women with 10 or more years of schooling (%),57.1,0
NCT of Delhi,7,Central,Central_6,6,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),23.4,0
NCT of Delhi,7,Central,Central_6,6,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
NCT of Delhi,7,Central,Central_6,6,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),4.1,0
NCT of Delhi,7,Central,Central_6,6,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),7,0
NCT of Delhi,7,Central,Central_6,6,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),33.5,0
NCT of Delhi,7,Central,Central_6,6,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),25.5,0
NCT of Delhi,7,Central,Central_6,6,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),13.5,0
NCT of Delhi,7,Central,Central_6,6,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),47.6,0
NCT of Delhi,7,Central,Central_6,6,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),0,0
NCT of Delhi,7,Central,Central_6,6,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
NCT of Delhi,7,Central,Central_6,6,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),18.2,0
NCT of Delhi,7,Central,Central_6,6,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),82.1,0
NCT of Delhi,7,Central,Central_6,6,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),94.1,0
NCT of Delhi,7,Central,Central_6,6,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),89.7,0
NCT of Delhi,7,Central,Central_6,6,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.2,0
NCT of Delhi,7,Central,Central_6,6,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),84.4,0
NCT of Delhi,7,Central,Central_6,6,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),15.5,0
NCT of Delhi,7,Central,Central_6,6,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),94.8,0
NCT of Delhi,7,Central,Central_6,6,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),89.9,0
NCT of Delhi,7,Central,Central_6,6,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),94.6,0
NCT of Delhi,7,Central,Central_6,6,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),36.9,0
NCT of Delhi,7,Central,Central_6,6,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),48.8,0
NCT of Delhi,7,Central,Central_6,6,Current Use of Family Planning Methods,Any method (%),68.5,0
NCT of Delhi,7,Central,Central_6,6,Current Use of Family Planning Methods,Any modern method (%),49.8,0
NCT of Delhi,7,Central,Central_6,6,Current Use of Family Planning Methods,Condom (%),22.9,0
NCT of Delhi,7,Central,Central_6,6,Current Use of Family Planning Methods,Female sterilization (%),17.6,0
NCT of Delhi,7,Central,Central_6,6,Current Use of Family Planning Methods,Injectables (%),0.5,0
NCT of Delhi,7,Central,Central_6,6,Current Use of Family Planning Methods,IUD/PPIUD (%),5.7,0
NCT of Delhi,7,Central,Central_6,6,Current Use of Family Planning Methods,Male sterilization (%),0.6,0
NCT of Delhi,7,Central,Central_6,6,Current Use of Family Planning Methods,Pill (%),2.1,0
NCT of Delhi,7,Central,Central_6,6,Delivery Care,Births attended by skilled health personnel (%),90.9,0
NCT of Delhi,7,Central,Central_6,6,Delivery Care,Births delivered by caesarean section (%),25.3,0
NCT of Delhi,7,Central,Central_6,6,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),49.4,0
NCT of Delhi,7,Central,Central_6,6,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),20.2,0
NCT of Delhi,7,Central,Central_6,6,Delivery Care,Home births that were conducted by skilled health personnel (%),0,0
NCT of Delhi,7,Central,Central_6,6,Delivery Care,Institutional births (%),92.2,0
NCT of Delhi,7,Central,Central_6,6,Delivery Care,Institutional births in public facility (%),69.3,0
NCT of Delhi,7,Central,Central_6,6,Hypertension among men,Male Elevated blood pressure or taking medicine to control blood pressure (%),41.5,0
NCT of Delhi,7,Central,Central_6,6,Hypertension among men,Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),25.3,0
NCT of Delhi,7,Central,Central_6,6,Hypertension among men,Male Moderately or severely elevated blood pressure (%),12.9,0
NCT of Delhi,7,Central,Central_6,6,Hypertension among women,Female Elevated blood pressure or taking medicine to control blood pressure (%),26.5,0
NCT of Delhi,7,Central,Central_6,6,Hypertension among women,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.7,0
NCT of Delhi,7,Central,Central_6,6,Hypertension among women,Female Moderately or severely elevated blood pressure (%),7,0
NCT of Delhi,7,Central,Central_6,6,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),0.8,0
NCT of Delhi,7,Central,Central_6,6,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4,0
NCT of Delhi,7,Central,Central_6,6,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),97.5,0
NCT of Delhi,7,Central,Central_6,6,Marriage and Fertility,Women age 2024 years married before age 18 years (%),11.2,0
NCT of Delhi,7,Central,Central_6,6,Maternal and Child Health,Average out-of-pocket expenditure per delivery in a public health facility (Rs),2313,0
NCT of Delhi,7,Central,Central_6,6,Maternal and Child Health,Children born at home who were taken to a health facility for a checkup within 24 hours of birth (%),0,0
NCT of Delhi,7,Central,Central_6,6,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.1,0
NCT of Delhi,7,Central,Central_6,6,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),62.2,0
NCT of Delhi,7,Central,Central_6,6,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),43.3,0
NCT of Delhi,7,Central,Central_6,6,Maternal and Child Health,Mothers who had an antenatal checkup in the first trimester (%),70.4,0
NCT of Delhi,7,Central,Central_6,6,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),73.1,0
NCT of Delhi,7,Central,Central_6,6,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),84.9,0
NCT of Delhi,7,Central,Central_6,6,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus (%),88.3,0
NCT of Delhi,7,Central,Central_6,6,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94,0
NCT of Delhi,7,Central,Central_6,6,Nutritional Status of Women,Women who are overweight or obese,44.8,0
NCT of Delhi,7,Central,Central_6,6,Nutritional Status of Women,Women who have high risk waisttohip ratio,66.9,0
NCT of Delhi,7,Central,Central_6,6,Nutritional Status of Women,Women whose Body Mass Index (BMI) is below normal (BMI <18),10.4,0
NCT of Delhi,7,Central,Central_6,6,Population and Household Profile,Children age 5 years who attended preprimary school during the school year 2019-20 (%),24.8,0
