State,ST_CEN_CD,District,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Population and Household Profile,Female population age 6 years and above who ever attended school (%),70.8,68.9
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Population and Household Profile,Population below age 15 years (%),26.8,28.9
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",817,858
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",822,1006
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),98.3,93.6
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),96.1,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Population and Household Profile,Population living in households with electricity (%),99.7,97.4
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Population and Household Profile,Population living in households with an improved drinkingwater source1 (%),94.8,92.4
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Population and Household Profile,Population living in households that use an improved sanitation facility2 (%),63.1,32.6
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Population and Household Profile,Households using clean fuel for cooking3 (%),74.3,56.1
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Population and Household Profile,Households using iodized salt (%),85,70.7
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),58.8,30.8
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Population and Household Profile,Children age 5 years who attended preprimary school during the school year 201920 (%),1.6,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Characteristics of Women,Women who are literate4 (%),72.8,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Characteristics of Women,Women with 10 or more years of schooling (%),31.5,35.8
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Marriage and Fertility,Women age 2024 years married before age 18 years (%),30,27.5
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),2.1,0.9
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Marriage and Fertility,Women age 1519 years who were already mothers or pregnant at the time of the survey (%),5.5,10.3
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Marriage and Fertility,Women age 1524 years who use hygienic methods of protection during their menstrual period5 (%),96.3,57.1
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Current Use of Family Planning Methods,Any method6 (%),72.8,38
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Current Use of Family Planning Methods,Any modern method6 (%),64.3,37.9
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Current Use of Family Planning Methods,Female sterilization (%),45,31.7
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Current Use of Family Planning Methods,Male sterilization (%),0.2,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Current Use of Family Planning Methods,IUD/PPIUD (%),2.6,1.4
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Current Use of Family Planning Methods,Pill (%),3,1.2
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Current Use of Family Planning Methods,Condom (%),12.4,3.7
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Current Use of Family Planning Methods,Injectables (%),1.1,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Unmet Need for Family Planning,Total unmet need7 (%),9,19.3
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Unmet Need for Family Planning,Unmet need for spacing7 (%),3.4,10.6
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Quality of Family Planning Services,Health worker ever talked to female nonusers about family planning (%),26.4,13
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Quality of Family Planning Services,Current users ever told about side effects of current method8 (%),71.2,45.2
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Maternal and Child Health,Mothers who had an antenatal checkup in the first trimester (%),82,63.6
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),90.9,75.6
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus9 (%),85.8,86.8
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),65.1,43.9
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),40,26.8
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.7,91.2
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.2,66.7
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Maternal and Child Health,Average outofpocket expenditure per delivery in a public health facility (Rs,502,471
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Maternal and Child Health,Children born at home who were taken to a health facility for a checkup within 24 hours of birth (%),0,7.7
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.9,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Delivery Care,Institutional births (%),96.3,88
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Delivery Care,Institutional births in public facility (%),75.8,66.4
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Delivery Care,Home births that were conducted by skilled health personnel10 (%),1.8,1.9
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Delivery Care,Births attended by skilled health personnel10 (%),98.1,89.5
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Delivery Care,Births delivered by caesarean section (%),21.9,16.2
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),45,38.4
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),16.7,12
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),100,43.2
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months fully vaccinated based on information from vaccination card only12 (%),98.5,57.1
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received BCG (%),100,88.9
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of polio vaccine13 (%),100,58.1
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of penta or DPT vaccine (%),100,73.3
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received the first dose of measlescontaining vaccine (MCV) (%),100,81.7
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Vaccinations and Vitamin A Supplementation,Children age 2435 months who have received a second dose of measlescontaining vaccine (MCV) (%),49.2,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of rotavirus vaccine14 (%),3.8,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of penta or hepatitis B vaccine (%),96.9,52.1
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Vaccinations and Vitamin A Supplementation,Children age 935 months who received a vitamin A dose in the last 6 months (%),87.7,63.4
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who received most of their vaccinations in a public health facility (%),97.3,90.2
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Treatment of Childhood Diseases,Children age 1223 months who received most of their vaccinations in a private health facility (%),2.7,9.8
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Treatment of Childhood Diseases,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.1,4.2
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),0,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),0,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Treatment of Childhood Diseases,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.3,1.9
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Treatment of Childhood Diseases,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),87.2,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth15 (%),26.6,47.8
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed16 (%),88.8,72.7
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Feeding Practices and Nutritional Status of Children,Children age 68 months receiving solid or semisolid food and breastmilk16 (%),0,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Feeding Practices and Nutritional Status of Children,"Breastfeeding children age 623 months receiving an adequate diet16, 17 (%)",9.6,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Feeding Practices and Nutritional Status of Children,"Nonbreastfeeding children age 623 months receiving an adequate diet16, 17 (%)",0,0
Dadra & Nagar Haveli,26,Dadra & Nagar Haveli,1,Child Feeding Practices and Nutritional Status of Children,"Total children age 623 months receiving an adequate diet16, 17 (%)",9.2,0
