State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Goa,30,North Goa,North Goa_1,1,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),46.2,32.8
Goa,30,North Goa,North Goa_1,1,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),40,33
Goa,30,North Goa,North Goa_1,1,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,55.2,48.5
Goa,30,North Goa,North Goa_1,1,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,40.2,33.2
Goa,30,North Goa,North Goa_1,1,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,0,0
Goa,30,North Goa,North Goa_1,1,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),24.9,0
Goa,30,North Goa,North Goa_1,1,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),13.1,0
Goa,30,North Goa,North Goa_1,1,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),9.7,0
Goa,30,North Goa,North Goa_1,1,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),7.9,0
Goa,30,North Goa,North Goa_1,1,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),20.6,0
Goa,30,North Goa,North Goa_1,1,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),11,0
Goa,30,North Goa,North Goa_1,1,Characteristics of Women,Women who are literate (%),92.4,0
Goa,30,North Goa,North Goa_1,1,Characteristics of Women,Women with 10 or more years of schooling (%),72,61.7
Goa,30,North Goa,North Goa_1,1,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),26.9,8.5
Goa,30,North Goa,North Goa_1,1,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Goa,30,North Goa,North Goa_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),2.7,3.9
Goa,30,North Goa,North Goa_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),7.3,7.2
Goa,30,North Goa,North Goa_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),24.2,21.4
Goa,30,North Goa,North Goa_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),25.8,23.8
Goa,30,North Goa,North Goa_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),17.7,17.5
Goa,30,North Goa,North Goa_1,1,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),61.1,82.8
Goa,30,North Goa,North Goa_1,1,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),0,0
Goa,30,North Goa,North Goa_1,1,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Goa,30,North Goa,North Goa_1,1,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),25.8,11.9
Goa,30,North Goa,North Goa_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),78.6,87.3
Goa,30,North Goa,North Goa_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),87.5,96.8
Goa,30,North Goa,North Goa_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.3,96.6
Goa,30,North Goa,North Goa_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),90.2,83
Goa,30,North Goa,North Goa_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),85.5,90.7
Goa,30,North Goa,North Goa_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),5.3,0
Goa,30,North Goa,North Goa_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),97.1,100
Goa,30,North Goa,North Goa_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),92.2,93.8
Goa,30,North Goa,North Goa_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.8,75.3
Goa,30,North Goa,North Goa_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),20.3,0
Goa,30,North Goa,North Goa_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),94.4,92.9
Goa,30,North Goa,North Goa_1,1,Current Use of Family Planning Methods,Any method (%),63.1,20.9
Goa,30,North Goa,North Goa_1,1,Current Use of Family Planning Methods,Any modern method (%),54.8,20.2
Goa,30,North Goa,North Goa_1,1,Current Use of Family Planning Methods,Condom (%),23.1,7.2
Goa,30,North Goa,North Goa_1,1,Current Use of Family Planning Methods,Female sterilization (%),23,11.3
Goa,30,North Goa,North Goa_1,1,Current Use of Family Planning Methods,Injectables (%),0,0
Goa,30,North Goa,North Goa_1,1,Current Use of Family Planning Methods,IUD/PPIUD (%),2.3,0.8
Goa,30,North Goa,North Goa_1,1,Current Use of Family Planning Methods,Male sterilization (%),0,0
Goa,30,North Goa,North Goa_1,1,Current Use of Family Planning Methods,Pill (%),4,0.6
Goa,30,North Goa,North Goa_1,1,Delivery Care,Births attended by skilled health personnel (%),98.6,99
Goa,30,North Goa,North Goa_1,1,Delivery Care,Births delivered by caesarean section (%),39.5,32.9
Goa,30,North Goa,North Goa_1,1,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),46.7,49
Goa,30,North Goa,North Goa_1,1,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),34.7,23.1
Goa,30,North Goa,North Goa_1,1,Delivery Care,Home births that were conducted by skilled health personnel (%),0,0
Goa,30,North Goa,North Goa_1,1,Delivery Care,Institutional births (%),99.6,98.6
Goa,30,North Goa,North Goa_1,1,Delivery Care,Institutional births in public facility (%),58.6,59.3
Goa,30,North Goa,North Goa_1,1,Hypertension among men,Male Elevated blood pressure or taking medicine to control blood pressure (%),28.3,0
Goa,30,North Goa,North Goa_1,1,Hypertension among men,Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.8,0
Goa,30,North Goa,North Goa_1,1,Hypertension among men,Male Moderately or severely elevated blood pressure (%),5.6,0
Goa,30,North Goa,North Goa_1,1,Hypertension among women,Female Elevated blood pressure or taking medicine to control blood pressure (%),27.3,0
Goa,30,North Goa,North Goa_1,1,Hypertension among women,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11,0
Goa,30,North Goa,North Goa_1,1,Hypertension among women,Female Moderately or severely elevated blood pressure (%),4.1,0
Goa,30,North Goa,North Goa_1,1,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),1.5,1.9
Goa,30,North Goa,North Goa_1,1,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.7,2.1
Goa,30,North Goa,North Goa_1,1,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),97.3,90.1
Goa,30,North Goa,North Goa_1,1,Marriage and Fertility,Women age 2024 years married before age 18 years (%),7.5,9.9
Goa,30,North Goa,North Goa_1,1,Maternal and Child Health,Average out-of-pocket expenditure per delivery in a public health facility (Rs),3824,7017
Goa,30,North Goa,North Goa_1,1,Maternal and Child Health,Children born at home who were taken to a health facility for a checkup within 24 hours of birth (%),0,0
Goa,30,North Goa,North Goa_1,1,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),95.9,0
Goa,30,North Goa,North Goa_1,1,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),84.8,88.6
Goa,30,North Goa,North Goa_1,1,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),68.4,78.3
Goa,30,North Goa,North Goa_1,1,Maternal and Child Health,Mothers who had an antenatal checkup in the first trimester (%),74.6,92.6
Goa,30,North Goa,North Goa_1,1,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),91.3,93.9
Goa,30,North Goa,North Goa_1,1,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.1,94.4
Goa,30,North Goa,North Goa_1,1,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus (%),95.8,99.7
Goa,30,North Goa,North Goa_1,1,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100,96.5
Goa,30,North Goa,North Goa_1,1,Nutritional Status of Women,Women who are overweight or obese,37.2,34.6
Goa,30,North Goa,North Goa_1,1,Nutritional Status of Women,Women who have high risk waisttohip ratio,52.3,0
Goa,30,North Goa,North Goa_1,1,Nutritional Status of Women,Women whose Body Mass Index (BMI) is below normal (BMI <18),14.1,15.9
Goa,30,North Goa,North Goa_1,1,Population and Household Profile,Children age 5 years who attended preprimary school during the school year 2019-20 (%),17.6,0
Goa,30,North Goa,North Goa_1,1,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),100,99.4
Goa,30,North Goa,North Goa_1,1,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),100,0
Goa,30,North Goa,North Goa_1,1,Population and Household Profile,Female population age 6 years and above who ever attended school (%),89.5,86.6
Goa,30,North Goa,North Goa_1,1,Population and Household Profile,Households using clean fuel for cooking (%),96.7,82.5
Goa,30,North Goa,North Goa_1,1,Population and Household Profile,Households using iodized salt (%),98.1,94.5
Goa,30,North Goa,North Goa_1,1,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),64.8,21.9
Goa,30,North Goa,North Goa_1,1,Population and Household Profile,Population below age 15 years (%),19.3,22.3
Goa,30,North Goa,North Goa_1,1,Population and Household Profile,Population living in households that use an improved sanitation facility (%),87.7,81.3
Goa,30,North Goa,North Goa_1,1,Population and Household Profile,Population living in households with an improved drinkingwater source (%),98.1,96.8
Goa,30,North Goa,North Goa_1,1,Population and Household Profile,Population living in households with electricity (%),100,99.7
Goa,30,North Goa,North Goa_1,1,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",849,963
Goa,30,North Goa,North Goa_1,1,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",1017,1030
Goa,30,North Goa,North Goa_1,1,Quality of Family Planning Services,Current users ever told about side effects of current method (%),82.1,0
Goa,30,North Goa,North Goa_1,1,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),33.2,48.9
