State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),67.3,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),63.7,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,72,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,63.5,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,70.1,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),20.1,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),7.2,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),12,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),10.2,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),20.3,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),8.3,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Characteristics of Women,Women who are literate (%),81.5,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Characteristics of Women,Women with 10 or more years of schooling (%),42.7,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),3.6,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),4.6,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),7.4,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),35.5,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),34,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),17.5,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),33.9,0
Gujarat,24,Ahmedabad,Ahmadabad_7,7,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),0,0
