State,ST_CEN_CD,District,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Himachal Pradesh,2,Bilaspur,8,Population and Household Profile,Female population age 6 years and above who ever attended school (%),81.3,78.6
Himachal Pradesh,2,Bilaspur,8,Population and Household Profile,Population below age 15 years (%),22.1,25.8
Himachal Pradesh,2,Bilaspur,8,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",1096,1086
Himachal Pradesh,2,Bilaspur,8,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",875,915
Himachal Pradesh,2,Bilaspur,8,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),96.9,95.5
Himachal Pradesh,2,Bilaspur,8,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),93.4,0
Himachal Pradesh,2,Bilaspur,8,Population and Household Profile,Population living in households with electricity (%),100,99.9
Himachal Pradesh,2,Bilaspur,8,Population and Household Profile,Population living in households with an improved drinkingwater source1 (%),92.9,81.2
Himachal Pradesh,2,Bilaspur,8,Population and Household Profile,Population living in households that use an improved sanitation facility2 (%),80.8,71.9
Himachal Pradesh,2,Bilaspur,8,Population and Household Profile,Households using clean fuel for cooking3 (%),35.8,19.1
Himachal Pradesh,2,Bilaspur,8,Population and Household Profile,Households using iodized salt (%),98.7,99.6
Himachal Pradesh,2,Bilaspur,8,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),35.4,18.4
Himachal Pradesh,2,Bilaspur,8,Population and Household Profile,Children age 5 years who attended preprimary school during the school year 201920 (%),3.5,0
Himachal Pradesh,2,Bilaspur,8,Characteristics of Women,Women who are literate4 (%),91.2,0
Himachal Pradesh,2,Bilaspur,8,Characteristics of Women,Women with 10 or more years of schooling (%),64.2,60.5
Himachal Pradesh,2,Bilaspur,8,Marriage and Fertility,Women age 2024 years married before age 18 years (%),10,13.6
Himachal Pradesh,2,Bilaspur,8,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),0.5,1.4
Himachal Pradesh,2,Bilaspur,8,Marriage and Fertility,Women age 1519 years who were already mothers or pregnant at the time of the survey (%),3.2,1.5
Himachal Pradesh,2,Bilaspur,8,Marriage and Fertility,Women age 1524 years who use hygienic methods of protection during their menstrual period5 (%),94.4,89.4
Himachal Pradesh,2,Bilaspur,8,Current Use of Family Planning Methods,Any method6 (%),80.8,52.1
Himachal Pradesh,2,Bilaspur,8,Current Use of Family Planning Methods,Any modern method6 (%),70.3,50.2
Himachal Pradesh,2,Bilaspur,8,Current Use of Family Planning Methods,Female sterilization (%),53.1,39.7
Himachal Pradesh,2,Bilaspur,8,Current Use of Family Planning Methods,Male sterilization (%),2.5,1
Himachal Pradesh,2,Bilaspur,8,Current Use of Family Planning Methods,IUD/PPIUD (%),0.4,0.3
Himachal Pradesh,2,Bilaspur,8,Current Use of Family Planning Methods,Pill (%),1.5,1.7
Himachal Pradesh,2,Bilaspur,8,Current Use of Family Planning Methods,Condom (%),12.4,7.3
Himachal Pradesh,2,Bilaspur,8,Current Use of Family Planning Methods,Injectables (%),0.2,0.3
Himachal Pradesh,2,Bilaspur,8,Unmet Need for Family Planning,Total unmet need7 (%),7.2,16.4
Himachal Pradesh,2,Bilaspur,8,Unmet Need for Family Planning,Unmet need for spacing7 (%),2.4,3.5
Himachal Pradesh,2,Bilaspur,8,Quality of Family Planning Services,Health worker ever talked to female nonusers about family planning (%),25,15.1
Himachal Pradesh,2,Bilaspur,8,Quality of Family Planning Services,Current users ever told about side effects of current method8 (%),49.8,35.5
Himachal Pradesh,2,Bilaspur,8,Maternal and Child Health,Mothers who had an antenatal checkup in the first trimester (%),76.4,71.8
Himachal Pradesh,2,Bilaspur,8,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),81.4,58.8
Himachal Pradesh,2,Bilaspur,8,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus9 (%),92.4,75.4
Himachal Pradesh,2,Bilaspur,8,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),72.4,55.4
Himachal Pradesh,2,Bilaspur,8,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),48.9,29.7
Himachal Pradesh,2,Bilaspur,8,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.3,93
Himachal Pradesh,2,Bilaspur,8,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.9,75.8
Himachal Pradesh,2,Bilaspur,8,Maternal and Child Health,Average outofpocket expenditure per delivery in a public health facility (Rs,3360,4743
Himachal Pradesh,2,Bilaspur,8,Maternal and Child Health,Children born at home who were taken to a health facility for a checkup within 24 hours of birth (%),0,3.1
Himachal Pradesh,2,Bilaspur,8,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90,0
Himachal Pradesh,2,Bilaspur,8,Delivery Care,Institutional births (%),91.7,82.9
Himachal Pradesh,2,Bilaspur,8,Delivery Care,Institutional births in public facility (%),72.1,58.4
Himachal Pradesh,2,Bilaspur,8,Delivery Care,Home births that were conducted by skilled health personnel10 (%),0.5,2.3
Himachal Pradesh,2,Bilaspur,8,Delivery Care,Births attended by skilled health personnel10 (%),87.6,84.1
Himachal Pradesh,2,Bilaspur,8,Delivery Care,Births delivered by caesarean section (%),19.2,15.7
Himachal Pradesh,2,Bilaspur,8,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),26.2,29.8
Himachal Pradesh,2,Bilaspur,8,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),19.5,14.4
Himachal Pradesh,2,Bilaspur,8,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),100,58.3
Himachal Pradesh,2,Bilaspur,8,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months fully vaccinated based on information from vaccination card only12 (%),100,72
Himachal Pradesh,2,Bilaspur,8,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received BCG (%),100,92.7
Himachal Pradesh,2,Bilaspur,8,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of polio vaccine13 (%),100,71
Himachal Pradesh,2,Bilaspur,8,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of penta or DPT vaccine (%),100,81.3
Himachal Pradesh,2,Bilaspur,8,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received the first dose of measlescontaining vaccine (MCV) (%),100,86.1
Himachal Pradesh,2,Bilaspur,8,Child Vaccinations and Vitamin A Supplementation,Children age 2435 months who have received a second dose of measlescontaining vaccine (MCV) (%),57.9,0
Himachal Pradesh,2,Bilaspur,8,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of rotavirus vaccine14 (%),90.3,0
Himachal Pradesh,2,Bilaspur,8,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of penta or hepatitis B vaccine (%),100,55.5
Himachal Pradesh,2,Bilaspur,8,Child Vaccinations and Vitamin A Supplementation,Children age 935 months who received a vitamin A dose in the last 6 months (%),75.4,81.5
Himachal Pradesh,2,Bilaspur,8,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who received most of their vaccinations in a public health facility (%),100,95.4
Himachal Pradesh,2,Bilaspur,8,Treatment of Childhood Diseases,Children age 1223 months who received most of their vaccinations in a private health facility (%),0,4.6
Himachal Pradesh,2,Bilaspur,8,Treatment of Childhood Diseases,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.3,9.3
Himachal Pradesh,2,Bilaspur,8,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),0,0
Himachal Pradesh,2,Bilaspur,8,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),0,0
Himachal Pradesh,2,Bilaspur,8,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,0
Himachal Pradesh,2,Bilaspur,8,Treatment of Childhood Diseases,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0,3.9
Himachal Pradesh,2,Bilaspur,8,Treatment of Childhood Diseases,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,84.8
Himachal Pradesh,2,Bilaspur,8,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth15 (%),51.1,40.5
Himachal Pradesh,2,Bilaspur,8,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed16 (%),0,0
Himachal Pradesh,2,Bilaspur,8,Child Feeding Practices and Nutritional Status of Children,Children age 68 months receiving solid or semisolid food and breastmilk16 (%),0,0
Himachal Pradesh,2,Bilaspur,8,Child Feeding Practices and Nutritional Status of Children,"Breastfeeding children age 623 months receiving an adequate diet16, 17 (%)",11.6,8
Himachal Pradesh,2,Bilaspur,8,Child Feeding Practices and Nutritional Status of Children,"Nonbreastfeeding children age 623 months receiving an adequate diet16, 17 (%)",0,0
Himachal Pradesh,2,Bilaspur,8,Child Feeding Practices and Nutritional Status of Children,"Total children age 623 months receiving an adequate diet16, 17 (%)",10.6,9.2
Himachal Pradesh,2,Bilaspur,8,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (heightforage)18 (%),40.1,27.2
Himachal Pradesh,2,Bilaspur,8,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weightforheight)18 (%),12,13.1
Himachal Pradesh,2,Bilaspur,8,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weightforheight)19 (%),2.8,4.5
Himachal Pradesh,2,Bilaspur,8,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weightforage)18 (%),38.8,23.4
