State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Haryana,6,Ambala,Ambala_2,2,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),49.2,67.2
Haryana,6,Ambala,Ambala_2,2,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),46.1,68.6
Haryana,6,Ambala,Ambala_2,2,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,64.2,75.1
Haryana,6,Ambala,Ambala_2,2,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,46.5,69.8
Haryana,6,Ambala,Ambala_2,2,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,33.8,54.7
Haryana,6,Ambala,Ambala_2,2,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13,0
Haryana,6,Ambala,Ambala_2,2,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),6.5,0
Haryana,6,Ambala,Ambala_2,2,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),5.3,0
Haryana,6,Ambala,Ambala_2,2,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),4,0
Haryana,6,Ambala,Ambala_2,2,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.7,0
Haryana,6,Ambala,Ambala_2,2,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),6.3,0
Haryana,6,Ambala,Ambala_2,2,Characteristics of Women,Women who are literate (%),85,0
Haryana,6,Ambala,Ambala_2,2,Characteristics of Women,Women with 10 or more years of schooling (%),55.3,64.2
Haryana,6,Ambala,Ambala_2,2,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),18.7,12.7
Haryana,6,Ambala,Ambala_2,2,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Haryana,6,Ambala,Ambala_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),6.2,1
Haryana,6,Ambala,Ambala_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),4,18.4
Haryana,6,Ambala,Ambala_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),24.1,19.8
Haryana,6,Ambala,Ambala_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),13.7,32.9
