State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),88,36.2
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),74.3,36.6
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,79.2,41.1
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,75.7,36.7
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,54.1,35.5
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.9,0
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),3.7,0
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),5.3,0
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),5,0
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.4,0
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),4.1,0
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Characteristics of Women,Women who are literate (%),74.7,0
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Characteristics of Women,Women with 10 or more years of schooling (%),52.8,30.9
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),14.4,9.1
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),5,4.3
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),14,2.3
Jammu & Kashmir,1,Anantnag,Anantnag_14,14,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),28.2,18.2
