State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Karnataka,29,Bagalkot,Bagalkot_2,2,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),50.7,41.9
Karnataka,29,Bagalkot,Bagalkot_2,2,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),48,40.8
Karnataka,29,Bagalkot,Bagalkot_2,2,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,63.8,62.6
Karnataka,29,Bagalkot,Bagalkot_2,2,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,47.9,39.9
Karnataka,29,Bagalkot,Bagalkot_2,2,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,49.5,55.7
Karnataka,29,Bagalkot,Bagalkot_2,2,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.8,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),5.9,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),6,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),5.4,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.8,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),5.4,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Characteristics of Women,Women who are literate (%),69.7,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Characteristics of Women,Women with 10 or more years of schooling (%),37.7,31.7
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),5.1,6.7
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),2.4,2.3
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),4.4,8.1
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),48.3,47.3
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),42.3,44.6
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),16.9,24.6
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),30.2,61.2
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),50.4,70.6
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),6.1,6.8
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),78.6,75.9
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),79.5,80.9
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),92,95.6
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),84.7,75.9
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),84,80.2
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),95.5,97.3
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),93.1,93.8
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.8,91.8
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),24,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),73,91.5
Karnataka,29,Bagalkot,Bagalkot_2,2,Current Use of Family Planning Methods,Any method (%),65.3,54.9
Karnataka,29,Bagalkot,Bagalkot_2,2,Current Use of Family Planning Methods,Any modern method (%),65.3,54.9
Karnataka,29,Bagalkot,Bagalkot_2,2,Current Use of Family Planning Methods,Condom (%),1.2,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Current Use of Family Planning Methods,Female sterilization (%),59.2,54.3
Karnataka,29,Bagalkot,Bagalkot_2,2,Current Use of Family Planning Methods,Injectables (%),0.3,0.2
Karnataka,29,Bagalkot,Bagalkot_2,2,Current Use of Family Planning Methods,IUD/PPIUD (%),2.2,0.1
Karnataka,29,Bagalkot,Bagalkot_2,2,Current Use of Family Planning Methods,Male sterilization (%),0,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Current Use of Family Planning Methods,Pill (%),2.2,0.3
Karnataka,29,Bagalkot,Bagalkot_2,2,Delivery Care,Births attended by skilled health personnel (%),91.4,98.3
Karnataka,29,Bagalkot,Bagalkot_2,2,Delivery Care,Births delivered by caesarean section (%),31,14.3
Karnataka,29,Bagalkot,Bagalkot_2,2,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),60,29.3
Karnataka,29,Bagalkot,Bagalkot_2,2,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),14.2,7.1
Karnataka,29,Bagalkot,Bagalkot_2,2,Delivery Care,Home births that were conducted by skilled health personnel (%),2.8,6.9
Karnataka,29,Bagalkot,Bagalkot_2,2,Delivery Care,Institutional births (%),95.2,91.6
Karnataka,29,Bagalkot,Bagalkot_2,2,Delivery Care,Institutional births in public facility (%),57.1,56.3
Karnataka,29,Bagalkot,Bagalkot_2,2,Hypertension among men,Male Elevated blood pressure or taking medicine to control blood pressure (%),21,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Hypertension among men,Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.2,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Hypertension among men,Male Moderately or severely elevated blood pressure (%),4.9,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Hypertension among women,Female Elevated blood pressure or taking medicine to control blood pressure (%),19.1,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Hypertension among women,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.1,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Hypertension among women,Female Moderately or severely elevated blood pressure (%),3.8,0
Karnataka,29,Bagalkot,Bagalkot_2,2,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),2,3.1
Karnataka,29,Bagalkot,Bagalkot_2,2,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.9,12.3
Karnataka,29,Bagalkot,Bagalkot_2,2,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),65.9,62.1
Karnataka,29,Bagalkot,Bagalkot_2,2,Marriage and Fertility,Women age 2024 years married before age 18 years (%),38.7,32.2
