State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Kerala,32,Alappuzha,Alappuzha_11,11,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),22.9,28.4
Kerala,32,Alappuzha,Alappuzha_11,11,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),31.9,27
Kerala,32,Alappuzha,Alappuzha_11,11,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,30.3,24.9
Kerala,32,Alappuzha,Alappuzha_11,11,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,32,26.6
Kerala,32,Alappuzha,Alappuzha_11,11,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,0,0
Kerala,32,Alappuzha,Alappuzha_11,11,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),25.4,0
Kerala,32,Alappuzha,Alappuzha_11,11,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),14.6,0
Kerala,32,Alappuzha,Alappuzha_11,11,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),8.2,0
Kerala,32,Alappuzha,Alappuzha_11,11,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),9.4,0
Kerala,32,Alappuzha,Alappuzha_11,11,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),25.2,0
Kerala,32,Alappuzha,Alappuzha_11,11,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),12.4,0
Kerala,32,Alappuzha,Alappuzha_11,11,Characteristics of Women,Women who are literate (%),99.7,0
Kerala,32,Alappuzha,Alappuzha_11,11,Characteristics of Women,Women with 10 or more years of schooling (%),78.8,73.8
Kerala,32,Alappuzha,Alappuzha_11,11,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),17.2,5.4
Kerala,32,Alappuzha,Alappuzha_11,11,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Kerala,32,Alappuzha,Alappuzha_11,11,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),4.5,4
Kerala,32,Alappuzha,Alappuzha_11,11,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),2.1,3.5
Kerala,32,Alappuzha,Alappuzha_11,11,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),20.1,14.5
Kerala,32,Alappuzha,Alappuzha_11,11,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),20.4,17.2
Kerala,32,Alappuzha,Alappuzha_11,11,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),14.4,16.6
Kerala,32,Alappuzha,Alappuzha_11,11,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),62.1,60.2
Kerala,32,Alappuzha,Alappuzha_11,11,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),0,0
Kerala,32,Alappuzha,Alappuzha_11,11,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Kerala,32,Alappuzha,Alappuzha_11,11,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),17.9,5
Kerala,32,Alappuzha,Alappuzha_11,11,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),61.9,0
Kerala,32,Alappuzha,Alappuzha_11,11,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),0,0
Kerala,32,Alappuzha,Alappuzha_11,11,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),76.8,0
Kerala,32,Alappuzha,Alappuzha_11,11,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),76.8,0
Kerala,32,Alappuzha,Alappuzha_11,11,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),79.3,0
Kerala,32,Alappuzha,Alappuzha_11,11,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),8.7,0
Kerala,32,Alappuzha,Alappuzha_11,11,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),96.9,0
Kerala,32,Alappuzha,Alappuzha_11,11,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),83.3,0
Kerala,32,Alappuzha,Alappuzha_11,11,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100,0
Kerala,32,Alappuzha,Alappuzha_11,11,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),22.2,0
Kerala,32,Alappuzha,Alappuzha_11,11,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),93.6,89.4
Kerala,32,Alappuzha,Alappuzha_11,11,Current Use of Family Planning Methods,Any method (%),61.5,45.1
Kerala,32,Alappuzha,Alappuzha_11,11,Current Use of Family Planning Methods,Any modern method (%),56.9,42.7
Kerala,32,Alappuzha,Alappuzha_11,11,Current Use of Family Planning Methods,Condom (%),4.3,2.6
Kerala,32,Alappuzha,Alappuzha_11,11,Current Use of Family Planning Methods,Female sterilization (%),49.6,36.5
Kerala,32,Alappuzha,Alappuzha_11,11,Current Use of Family Planning Methods,Injectables (%),0,0
Kerala,32,Alappuzha,Alappuzha_11,11,Current Use of Family Planning Methods,IUD/PPIUD (%),1.3,3.1
Kerala,32,Alappuzha,Alappuzha_11,11,Current Use of Family Planning Methods,Male sterilization (%),0.6,0.2
Kerala,32,Alappuzha,Alappuzha_11,11,Current Use of Family Planning Methods,Pill (%),0.2,0.3
Kerala,32,Alappuzha,Alappuzha_11,11,Delivery Care,Births attended by skilled health personnel (%),100,99
Kerala,32,Alappuzha,Alappuzha_11,11,Delivery Care,Births delivered by caesarean section (%),47.8,43.2
Kerala,32,Alappuzha,Alappuzha_11,11,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),53.8,49.9
Kerala,32,Alappuzha,Alappuzha_11,11,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),42.2,35.9
Kerala,32,Alappuzha,Alappuzha_11,11,Delivery Care,Home births that were conducted by skilled health personnel (%),0.6,0
Kerala,32,Alappuzha,Alappuzha_11,11,Delivery Care,Institutional births (%),99.4,99
Kerala,32,Alappuzha,Alappuzha_11,11,Delivery Care,Institutional births in public facility (%),49,44.1
Kerala,32,Alappuzha,Alappuzha_11,11,Hypertension among men,Male Elevated blood pressure or taking medicine to control blood pressure (%),36.2,0
Kerala,32,Alappuzha,Alappuzha_11,11,Hypertension among men,Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.5,0
Kerala,32,Alappuzha,Alappuzha_11,11,Hypertension among men,Male Moderately or severely elevated blood pressure (%),7.7,0
Kerala,32,Alappuzha,Alappuzha_11,11,Hypertension among women,Female Elevated blood pressure or taking medicine to control blood pressure (%),32.1,0
Kerala,32,Alappuzha,Alappuzha_11,11,Hypertension among women,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.2,0
Kerala,32,Alappuzha,Alappuzha_11,11,Hypertension among women,Female Moderately or severely elevated blood pressure (%),6.3,0
Kerala,32,Alappuzha,Alappuzha_11,11,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),0.6,0
Kerala,32,Alappuzha,Alappuzha_11,11,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.9,2.1
Kerala,32,Alappuzha,Alappuzha_11,11,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),93.1,84.2
Kerala,32,Alappuzha,Alappuzha_11,11,Marriage and Fertility,Women age 2024 years married before age 18 years (%),3.8,1.2
Kerala,32,Alappuzha,Alappuzha_11,11,Maternal and Child Health,Average out-of-pocket expenditure per delivery in a public health facility (Rs),10557,9472
Kerala,32,Alappuzha,Alappuzha_11,11,Maternal and Child Health,Children born at home who were taken to a health facility for a checkup within 24 hours of birth (%),0,0
Kerala,32,Alappuzha,Alappuzha_11,11,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.1,0
Kerala,32,Alappuzha,Alappuzha_11,11,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),61,54.3
Kerala,32,Alappuzha,Alappuzha_11,11,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),52,43.1
Kerala,32,Alappuzha,Alappuzha_11,11,Maternal and Child Health,Mothers who had an antenatal checkup in the first trimester (%),85.1,92.4
Kerala,32,Alappuzha,Alappuzha_11,11,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),65.7,79.6
Kerala,32,Alappuzha,Alappuzha_11,11,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.2,78.7
Kerala,32,Alappuzha,Alappuzha_11,11,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus (%),87.5,90.9
Kerala,32,Alappuzha,Alappuzha_11,11,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.4,87.5
Kerala,32,Alappuzha,Alappuzha_11,11,Nutritional Status of Women,Women who are overweight or obese,41.9,37.7
Kerala,32,Alappuzha,Alappuzha_11,11,Nutritional Status of Women,Women who have high risk waisttohip ratio,58.9,0
Kerala,32,Alappuzha,Alappuzha_11,11,Nutritional Status of Women,Women whose Body Mass Index (BMI) is below normal (BMI <18),14.3,12.4
Kerala,32,Alappuzha,Alappuzha_11,11,Population and Household Profile,Children age 5 years who attended preprimary school during the school year 2019-20 (%),46.8,0
Kerala,32,Alappuzha,Alappuzha_11,11,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),95.3,94.5
Kerala,32,Alappuzha,Alappuzha_11,11,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),100,0
Kerala,32,Alappuzha,Alappuzha_11,11,Population and Household Profile,Female population age 6 years and above who ever attended school (%),97.8,97.2
Kerala,32,Alappuzha,Alappuzha_11,11,Population and Household Profile,Households using clean fuel for cooking (%),79.2,64.2
