State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Ladakh,1,Kargil,Kargil_4,4,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),97.1,80.6
Ladakh,1,Kargil,Kargil_4,4,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),92,73.1
Ladakh,1,Kargil,Kargil_4,4,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,87.9,87.6
Ladakh,1,Kargil,Kargil_4,4,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,92.8,72.8
Ladakh,1,Kargil,Kargil_4,4,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,76.7,77.9
Ladakh,1,Kargil,Kargil_4,4,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.2,0
Ladakh,1,Kargil,Kargil_4,4,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),3.4,0
Ladakh,1,Kargil,Kargil_4,4,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),4.6,0
Ladakh,1,Kargil,Kargil_4,4,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),3.2,0
Ladakh,1,Kargil,Kargil_4,4,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.3,0
Ladakh,1,Kargil,Kargil_4,4,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),2.8,0
Ladakh,1,Kargil,Kargil_4,4,Characteristics of Women,Women who are literate (%),77.2,0
Ladakh,1,Kargil,Kargil_4,4,Characteristics of Women,Women with 10 or more years of schooling (%),50.3,42.8
Ladakh,1,Kargil,Kargil_4,4,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),18.2,19.6
Ladakh,1,Kargil,Kargil_4,4,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Ladakh,1,Kargil,Kargil_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),14,4
Ladakh,1,Kargil,Kargil_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),10.5,3.1
Ladakh,1,Kargil,Kargil_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),36.5,39.6
Ladakh,1,Kargil,Kargil_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),21.8,20.3
Ladakh,1,Kargil,Kargil_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),17.7,6.8
Ladakh,1,Kargil,Kargil_4,4,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),71,54
Ladakh,1,Kargil,Kargil_4,4,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),80.4,54.5
Ladakh,1,Kargil,Kargil_4,4,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Ladakh,1,Kargil,Kargil_4,4,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),18.5,21.4
Ladakh,1,Kargil,Kargil_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),87.5,81.9
Ladakh,1,Kargil,Kargil_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),100,92.5
Ladakh,1,Kargil,Kargil_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),100,89.7
Ladakh,1,Kargil,Kargil_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),100,79.4
Ladakh,1,Kargil,Kargil_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),87.5,86.5
Ladakh,1,Kargil,Kargil_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),7.7,0
Ladakh,1,Kargil,Kargil_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),100,98.9
Ladakh,1,Kargil,Kargil_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),97.4,92.9
Ladakh,1,Kargil,Kargil_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100,100
Ladakh,1,Kargil,Kargil_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),31,0
Ladakh,1,Kargil,Kargil_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),85,76.4
Ladakh,1,Kargil,Kargil_4,4,Current Use of Family Planning Methods,Any method (%),46.9,62.9
Ladakh,1,Kargil,Kargil_4,4,Current Use of Family Planning Methods,Any modern method (%),41.6,59.3
Ladakh,1,Kargil,Kargil_4,4,Current Use of Family Planning Methods,Condom (%),8.6,6.9
Ladakh,1,Kargil,Kargil_4,4,Current Use of Family Planning Methods,Female sterilization (%),14.1,19.9
Ladakh,1,Kargil,Kargil_4,4,Current Use of Family Planning Methods,Injectables (%),5.1,2
Ladakh,1,Kargil,Kargil_4,4,Current Use of Family Planning Methods,IUD/PPIUD (%),5.7,25.4
Ladakh,1,Kargil,Kargil_4,4,Current Use of Family Planning Methods,Male sterilization (%),0.3,0.1
Ladakh,1,Kargil,Kargil_4,4,Current Use of Family Planning Methods,Pill (%),6.6,4.6
Ladakh,1,Kargil,Kargil_4,4,Delivery Care,Births attended by skilled health personnel (%),95.6,86.6
Ladakh,1,Kargil,Kargil_4,4,Delivery Care,Births delivered by caesarean section (%),32,11.1
Ladakh,1,Kargil,Kargil_4,4,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),0,0
Ladakh,1,Kargil,Kargil_4,4,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),34.2,12
Ladakh,1,Kargil,Kargil_4,4,Delivery Care,Home births that were conducted by skilled health personnel (%),2.6,3.3
Ladakh,1,Kargil,Kargil_4,4,Delivery Care,Institutional births (%),93.7,85.7
Ladakh,1,Kargil,Kargil_4,4,Delivery Care,Institutional births in public facility (%),93.7,84.2
Ladakh,1,Kargil,Kargil_4,4,Hypertension among men,Male Elevated blood pressure or taking medicine to control blood pressure (%),20.1,0
Ladakh,1,Kargil,Kargil_4,4,Hypertension among men,Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.2,0
Ladakh,1,Kargil,Kargil_4,4,Hypertension among men,Male Moderately or severely elevated blood pressure (%),3.8,0
Ladakh,1,Kargil,Kargil_4,4,Hypertension among women,Female Elevated blood pressure or taking medicine to control blood pressure (%),18.7,0
Ladakh,1,Kargil,Kargil_4,4,Hypertension among women,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12,0
Ladakh,1,Kargil,Kargil_4,4,Hypertension among women,Female Moderately or severely elevated blood pressure (%),2.7,0
Ladakh,1,Kargil,Kargil_4,4,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),0.4,2.3
Ladakh,1,Kargil,Kargil_4,4,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0,0
Ladakh,1,Kargil,Kargil_4,4,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),74.4,50
Ladakh,1,Kargil,Kargil_4,4,Marriage and Fertility,Women age 2024 years married before age 18 years (%),2.5,4.6
Ladakh,1,Kargil,Kargil_4,4,Maternal and Child Health,Average out-of-pocket expenditure per delivery in a public health facility (Rs),3569,2323
Ladakh,1,Kargil,Kargil_4,4,Maternal and Child Health,Children born at home who were taken to a health facility for a checkup within 24 hours of birth (%),0,0
