State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Meghalaya,17,East Garo Hills,West Garo Hills_1,2,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),55.7,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),50.9,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,28,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,52.1,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,29.1,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.2,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),3.6,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),12,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),6.3,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.3,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),2,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Characteristics of Women,Women who are literate (%),86.7,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Characteristics of Women,Women with 10 or more years of schooling (%),40.5,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),41.3,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),4.1,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),6.2,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),39.7,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),26.5,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),20.1,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),48,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),0,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),43.9,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),72.4,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),94.5,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83.3,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),74.8,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),76.6,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),12.5,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),81.5,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),83.3,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.8,0
Meghalaya,17,East Garo Hills,East Garo Hills_2,2,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),19.3,0
