State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Manipur,14,Bishnupur,Bishnupur_4,4,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),33.3,20.1
Manipur,14,Bishnupur,Bishnupur_4,4,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),35.8,26.8
Manipur,14,Bishnupur,Bishnupur_4,4,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,42.4,21.4
Manipur,14,Bishnupur,Bishnupur_4,4,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,35.6,26.4
Manipur,14,Bishnupur,Bishnupur_4,4,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,39,35.3
Manipur,14,Bishnupur,Bishnupur_4,4,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.8,0
Manipur,14,Bishnupur,Bishnupur_4,4,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),8.9,0
Manipur,14,Bishnupur,Bishnupur_4,4,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),5.7,0
Manipur,14,Bishnupur,Bishnupur_4,4,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),5.9,0
Manipur,14,Bishnupur,Bishnupur_4,4,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.4,0
Manipur,14,Bishnupur,Bishnupur_4,4,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),6.1,0
Manipur,14,Bishnupur,Bishnupur_4,4,Characteristics of Women,Women who are literate (%),88.4,0
Manipur,14,Bishnupur,Bishnupur_4,4,Characteristics of Women,Women with 10 or more years of schooling (%),48.7,42.9
Manipur,14,Bishnupur,Bishnupur_4,4,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),22.1,18.1
Manipur,14,Bishnupur,Bishnupur_4,4,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Manipur,14,Bishnupur,Bishnupur_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),3.1,2.1
Manipur,14,Bishnupur,Bishnupur_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),2.1,2
Manipur,14,Bishnupur,Bishnupur_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),15.5,24.7
Manipur,14,Bishnupur,Bishnupur_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),11.7,13.7
Manipur,14,Bishnupur,Bishnupur_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),7.9,6.9
Manipur,14,Bishnupur,Bishnupur_4,4,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),48.1,71.4
Manipur,14,Bishnupur,Bishnupur_4,4,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),74.6,83.3
Manipur,14,Bishnupur,Bishnupur_4,4,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Manipur,14,Bishnupur,Bishnupur_4,4,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),21.1,17.4
