State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),76.5,64.1
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),60.5,64.4
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,76.4,74.5
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,60.4,64.4
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,61.7,64.1
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8,0
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),1.8,0
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),5.9,0
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),4.2,0
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.3,0
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),2.5,0
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Characteristics of Women,Women who are literate (%),40.8,0
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Characteristics of Women,Women with 10 or more years of schooling (%),17.3,9.6
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),2.6,3.5
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),2.3,1.3
Madhya Pradesh,23,Alirajpur,Alirajpur_48,48,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),5.4,11.3
