State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Mizoram,15,Aizawl,Aizawl_3,3,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),31.5,17
Mizoram,15,Aizawl,Aizawl_3,3,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),31.7,18.4
Mizoram,15,Aizawl,Aizawl_3,3,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,44,10.5
Mizoram,15,Aizawl,Aizawl_3,3,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,31.6,18.3
Mizoram,15,Aizawl,Aizawl_3,3,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,33.4,20.8
Mizoram,15,Aizawl,Aizawl_3,3,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.3,0
Mizoram,15,Aizawl,Aizawl_3,3,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),6.8,0
Mizoram,15,Aizawl,Aizawl_3,3,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),7.2,0
Mizoram,15,Aizawl,Aizawl_3,3,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),6.8,0
Mizoram,15,Aizawl,Aizawl_3,3,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.2,0
Mizoram,15,Aizawl,Aizawl_3,3,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),6.8,0
Mizoram,15,Aizawl,Aizawl_3,3,Characteristics of Women,Women who are literate (%),98.9,0
Mizoram,15,Aizawl,Aizawl_3,3,Characteristics of Women,Women with 10 or more years of schooling (%),60.7,50.7
Mizoram,15,Aizawl,Aizawl_3,3,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),17,16.6
Mizoram,15,Aizawl,Aizawl_3,3,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Mizoram,15,Aizawl,Aizawl_3,3,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),12.3,5.6
Mizoram,15,Aizawl,Aizawl_3,3,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),2.4,0.8
Mizoram,15,Aizawl,Aizawl_3,3,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),25.3,23.7
Mizoram,15,Aizawl,Aizawl_3,3,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),9.6,6.7
Mizoram,15,Aizawl,Aizawl_3,3,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),7.3,2.3
Mizoram,15,Aizawl,Aizawl_3,3,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),58.5,68
Mizoram,15,Aizawl,Aizawl_3,3,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),0,0
Mizoram,15,Aizawl,Aizawl_3,3,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Mizoram,15,Aizawl,Aizawl_3,3,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),17.9,17.2
Mizoram,15,Aizawl,Aizawl_3,3,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),66.4,55.3
Mizoram,15,Aizawl,Aizawl_3,3,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),76.3,74.1
Mizoram,15,Aizawl,Aizawl_3,3,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),79.4,65
Mizoram,15,Aizawl,Aizawl_3,3,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),71.4,60.2
Mizoram,15,Aizawl,Aizawl_3,3,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),68.7,66.3
Mizoram,15,Aizawl,Aizawl_3,3,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),16.6,0
Mizoram,15,Aizawl,Aizawl_3,3,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),81.6,82.8
Mizoram,15,Aizawl,Aizawl_3,3,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),77.9,60.4
Mizoram,15,Aizawl,Aizawl_3,3,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.7,85.2
Mizoram,15,Aizawl,Aizawl_3,3,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),28.6,0
Mizoram,15,Aizawl,Aizawl_3,3,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),71.6,76.3
Mizoram,15,Aizawl,Aizawl_3,3,Current Use of Family Planning Methods,Any method (%),21.6,40.9
Mizoram,15,Aizawl,Aizawl_3,3,Current Use of Family Planning Methods,Any modern method (%),21,40.9
Mizoram,15,Aizawl,Aizawl_3,3,Current Use of Family Planning Methods,Condom (%),1.6,1.9
Mizoram,15,Aizawl,Aizawl_3,3,Current Use of Family Planning Methods,Female sterilization (%),6.9,20.4
Mizoram,15,Aizawl,Aizawl_3,3,Current Use of Family Planning Methods,Injectables (%),0,0
Mizoram,15,Aizawl,Aizawl_3,3,Current Use of Family Planning Methods,IUD/PPIUD (%),2.8,3.6
Mizoram,15,Aizawl,Aizawl_3,3,Current Use of Family Planning Methods,Male sterilization (%),0,0
Mizoram,15,Aizawl,Aizawl_3,3,Current Use of Family Planning Methods,Pill (%),9.7,15
Mizoram,15,Aizawl,Aizawl_3,3,Delivery Care,Births attended by skilled health personnel (%),97.8,97.7
Mizoram,15,Aizawl,Aizawl_3,3,Delivery Care,Births delivered by caesarean section (%),18.2,20.7
Mizoram,15,Aizawl,Aizawl_3,3,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),34.6,30.5
Mizoram,15,Aizawl,Aizawl_3,3,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),14.2,17.7
Mizoram,15,Aizawl,Aizawl_3,3,Delivery Care,Home births that were conducted by skilled health personnel (%),0.3,1.4
Mizoram,15,Aizawl,Aizawl_3,3,Delivery Care,Institutional births (%),97.4,96.2
Mizoram,15,Aizawl,Aizawl_3,3,Delivery Care,Institutional births in public facility (%),76.3,67.5
Mizoram,15,Aizawl,Aizawl_3,3,Hypertension among men,Male Elevated blood pressure or taking medicine to control blood pressure (%),33.6,0
Mizoram,15,Aizawl,Aizawl_3,3,Hypertension among men,Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),19.8,0
Mizoram,15,Aizawl,Aizawl_3,3,Hypertension among men,Male Moderately or severely elevated blood pressure (%),6.8,0
Mizoram,15,Aizawl,Aizawl_3,3,Hypertension among women,Female Elevated blood pressure or taking medicine to control blood pressure (%),23.4,0
Mizoram,15,Aizawl,Aizawl_3,3,Hypertension among women,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.1,0
Mizoram,15,Aizawl,Aizawl_3,3,Hypertension among women,Female Moderately or severely elevated blood pressure (%),2.7,0
Mizoram,15,Aizawl,Aizawl_3,3,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),0.9,1.1
Mizoram,15,Aizawl,Aizawl_3,3,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2,6.9
Mizoram,15,Aizawl,Aizawl_3,3,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),92.7,97
Mizoram,15,Aizawl,Aizawl_3,3,Marriage and Fertility,Women age 2024 years married before age 18 years (%),3.2,5.7
Mizoram,15,Aizawl,Aizawl_3,3,Maternal and Child Health,Average out-of-pocket expenditure per delivery in a public health facility (Rs),9812,5087
Mizoram,15,Aizawl,Aizawl_3,3,Maternal and Child Health,Children born at home who were taken to a health facility for a checkup within 24 hours of birth (%),0,0
Mizoram,15,Aizawl,Aizawl_3,3,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),33.2,0
Mizoram,15,Aizawl,Aizawl_3,3,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),58.5,59.8
Mizoram,15,Aizawl,Aizawl_3,3,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.1,3.4
Mizoram,15,Aizawl,Aizawl_3,3,Maternal and Child Health,Mothers who had an antenatal checkup in the first trimester (%),82.8,74.8
Mizoram,15,Aizawl,Aizawl_3,3,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),68.5,76.6
Mizoram,15,Aizawl,Aizawl_3,3,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),73.4,75.5
Mizoram,15,Aizawl,Aizawl_3,3,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus (%),82.3,89.1
Mizoram,15,Aizawl,Aizawl_3,3,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.1,97
Mizoram,15,Aizawl,Aizawl_3,3,Nutritional Status of Women,Women who are overweight or obese,29.7,26.8
Mizoram,15,Aizawl,Aizawl_3,3,Nutritional Status of Women,Women who have high risk waisttohip ratio,46,0
Mizoram,15,Aizawl,Aizawl_3,3,Nutritional Status of Women,Women whose Body Mass Index (BMI) is below normal (BMI <18),3.8,7
Mizoram,15,Aizawl,Aizawl_3,3,Population and Household Profile,Children age 5 years who attended preprimary school during the school year 2019-20 (%),8.7,0
Mizoram,15,Aizawl,Aizawl_3,3,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),99.3,96.9
Mizoram,15,Aizawl,Aizawl_3,3,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),86.2,0
Mizoram,15,Aizawl,Aizawl_3,3,Population and Household Profile,Female population age 6 years and above who ever attended school (%),97.8,95.9
Mizoram,15,Aizawl,Aizawl_3,3,Population and Household Profile,Households using clean fuel for cooking (%),95.4,87.5
Mizoram,15,Aizawl,Aizawl_3,3,Population and Household Profile,Households using iodized salt (%),99.2,98.8
Mizoram,15,Aizawl,Aizawl_3,3,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),37.5,38.1
Mizoram,15,Aizawl,Aizawl_3,3,Population and Household Profile,Population below age 15 years (%),25.1,27.6
Mizoram,15,Aizawl,Aizawl_3,3,Population and Household Profile,Population living in households that use an improved sanitation facility (%),96.1,92.3
Mizoram,15,Aizawl,Aizawl_3,3,Population and Household Profile,Population living in households with an improved drinkingwater source (%),98.3,97.1
Mizoram,15,Aizawl,Aizawl_3,3,Population and Household Profile,Population living in households with electricity (%),99.7,99.8
Mizoram,15,Aizawl,Aizawl_3,3,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1042,902
Mizoram,15,Aizawl,Aizawl_3,3,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",1052,1064
Mizoram,15,Aizawl,Aizawl_3,3,Quality of Family Planning Services,Current users ever told about side effects of current method (%),44.4,49.2
Mizoram,15,Aizawl,Aizawl_3,3,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),12,11.7
Mizoram,15,Aizawl,Aizawl_3,3,Screening for Cancer among Women,Ever undergone a breast examination for breast cancer (%),4.7,0
Mizoram,15,Aizawl,Aizawl_3,3,Screening for Cancer among Women,Ever undergone a screening test for cervical cancer (%),10.8,0
Mizoram,15,Aizawl,Aizawl_3,3,Screening for Cancer among Women,Ever undergone an oral cavity examination for oral cancer (%),1.6,0
Mizoram,15,Aizawl,Aizawl_3,3,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who consume alcohol (%),25.8,0
Mizoram,15,Aizawl,Aizawl_3,3,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who use any kind of tobacco (%),68.7,0
Mizoram,15,Aizawl,Aizawl_3,3,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who consume alcohol (%),1,0
Mizoram,15,Aizawl,Aizawl_3,3,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who use any kind of tobacco (%),54.7,0
Mizoram,15,Aizawl,Aizawl_3,3,Treatment of Childhood Diseases,Children age 12-23 months who received most of their vaccinations in a private health facility (%),6.3,14.9
Mizoram,15,Aizawl,Aizawl_3,3,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,0
Mizoram,15,Aizawl,Aizawl_3,3,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),0,0
Mizoram,15,Aizawl,Aizawl_3,3,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),0,0
Mizoram,15,Aizawl,Aizawl_3,3,Treatment of Childhood Diseases,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),57.3,54.8
Mizoram,15,Aizawl,Aizawl_3,3,Treatment of Childhood Diseases,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.1,10.2
