State,ST_CEN_CD,District,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Nagaland,13,Dimapur,5,Population and Household Profile,Female population age 6 years and above who ever attended school (%),89.8,83.7
Nagaland,13,Dimapur,5,Population and Household Profile,Population below age 15 years (%),24.5,30.7
Nagaland,13,Dimapur,5,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",1010,1033
Nagaland,13,Dimapur,5,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",911,1046
Nagaland,13,Dimapur,5,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),80.2,72.7
Nagaland,13,Dimapur,5,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),61.6,0
Nagaland,13,Dimapur,5,Population and Household Profile,Population living in households with electricity (%),99.8,98.4
Nagaland,13,Dimapur,5,Population and Household Profile,Population living in households with an improved drinkingwater source1 (%),92.4,79.1
Nagaland,13,Dimapur,5,Population and Household Profile,Population living in households that use an improved sanitation facility2 (%),81.1,68.3
Nagaland,13,Dimapur,5,Population and Household Profile,Households using clean fuel for cooking3 (%),84.2,66.7
Nagaland,13,Dimapur,5,Population and Household Profile,Households using iodized salt (%),98.7,99.8
Nagaland,13,Dimapur,5,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),5.7,4.6
Nagaland,13,Dimapur,5,Population and Household Profile,Children age 5 years who attended preprimary school during the school year 201920 (%),5.3,0
Nagaland,13,Dimapur,5,Characteristics of Women,Women who are literate4 (%),86.6,0
Nagaland,13,Dimapur,5,Characteristics of Women,Women with 10 or more years of schooling (%),52.5,40.7
Nagaland,13,Dimapur,5,Marriage and Fertility,Women age 2024 years married before age 18 years (%),4.4,19.4
Nagaland,13,Dimapur,5,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),3,2.5
Nagaland,13,Dimapur,5,Marriage and Fertility,Women age 1519 years who were already mothers or pregnant at the time of the survey (%),3.3,7.8
Nagaland,13,Dimapur,5,Marriage and Fertility,Women age 1524 years who use hygienic methods of protection during their menstrual period5 (%),84.9,76.6
Nagaland,13,Dimapur,5,Current Use of Family Planning Methods,Any method6 (%),46.9,27.4
Nagaland,13,Dimapur,5,Current Use of Family Planning Methods,Any modern method6 (%),38.4,20.8
Nagaland,13,Dimapur,5,Current Use of Family Planning Methods,Female sterilization (%),15.7,5.4
Nagaland,13,Dimapur,5,Current Use of Family Planning Methods,Male sterilization (%),0,0
Nagaland,13,Dimapur,5,Current Use of Family Planning Methods,IUD/PPIUD (%),9.6,2.7
Nagaland,13,Dimapur,5,Current Use of Family Planning Methods,Pill (%),9.1,10.1
Nagaland,13,Dimapur,5,Current Use of Family Planning Methods,Condom (%),3.4,2.5
Nagaland,13,Dimapur,5,Current Use of Family Planning Methods,Injectables (%),0,0.1
Nagaland,13,Dimapur,5,Unmet Need for Family Planning,Total unmet need7 (%),14.3,24.2
Nagaland,13,Dimapur,5,Unmet Need for Family Planning,Unmet need for spacing7 (%),5.8,9.8
Nagaland,13,Dimapur,5,Quality of Family Planning Services,Health worker ever talked to female nonusers about family planning (%),7.3,6.8
Nagaland,13,Dimapur,5,Quality of Family Planning Services,Current users ever told about side effects of current method8 (%),36.7,28.6
Nagaland,13,Dimapur,5,Maternal and Child Health,Mothers who had an antenatal checkup in the first trimester (%),71.4,34.4
Nagaland,13,Dimapur,5,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),50.1,26.5
Nagaland,13,Dimapur,5,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus9 (%),86.4,76.9
Nagaland,13,Dimapur,5,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),14.9,7.6
Nagaland,13,Dimapur,5,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),9.3,4.3
Nagaland,13,Dimapur,5,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),82.3,64.3
Nagaland,13,Dimapur,5,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),68.7,35.6
Nagaland,13,Dimapur,5,Maternal and Child Health,Average outofpocket expenditure per delivery in a public health facility (Rs,7330,7468
Nagaland,13,Dimapur,5,Maternal and Child Health,Children born at home who were taken to a health facility for a checkup within 24 hours of birth (%),0,0
Nagaland,13,Dimapur,5,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),64.7,0
Nagaland,13,Dimapur,5,Delivery Care,Institutional births (%),73.7,56.3
Nagaland,13,Dimapur,5,Delivery Care,Institutional births in public facility (%),43.2,32.5
Nagaland,13,Dimapur,5,Delivery Care,Home births that were conducted by skilled health personnel10 (%),9.4,5.5
Nagaland,13,Dimapur,5,Delivery Care,Births attended by skilled health personnel10 (%),80.7,61.3
Nagaland,13,Dimapur,5,Delivery Care,Births delivered by caesarean section (%),14.6,12.5
Nagaland,13,Dimapur,5,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),28.1,31
Nagaland,13,Dimapur,5,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),14.1,15.6
Nagaland,13,Dimapur,5,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),55.9,33.7
Nagaland,13,Dimapur,5,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months fully vaccinated based on information from vaccination card only12 (%),63.8,66
Nagaland,13,Dimapur,5,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received BCG (%),85.1,63.3
Nagaland,13,Dimapur,5,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of polio vaccine13 (%),61.3,59.2
Nagaland,13,Dimapur,5,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of penta or DPT vaccine (%),73.2,54.6
Nagaland,13,Dimapur,5,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received the first dose of measlescontaining vaccine (MCV) (%),74.6,47.4
Nagaland,13,Dimapur,5,Child Vaccinations and Vitamin A Supplementation,Children age 2435 months who have received a second dose of measlescontaining vaccine (MCV) (%),13.1,0
Nagaland,13,Dimapur,5,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of rotavirus vaccine14 (%),7.2,0
Nagaland,13,Dimapur,5,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of penta or hepatitis B vaccine (%),71.1,43.5
Nagaland,13,Dimapur,5,Child Vaccinations and Vitamin A Supplementation,Children age 935 months who received a vitamin A dose in the last 6 months (%),49.4,42.6
Nagaland,13,Dimapur,5,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who received most of their vaccinations in a public health facility (%),85.5,72.3
Nagaland,13,Dimapur,5,Treatment of Childhood Diseases,Children age 1223 months who received most of their vaccinations in a private health facility (%),14.5,26.6
Nagaland,13,Dimapur,5,Treatment of Childhood Diseases,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.2,8.8
Nagaland,13,Dimapur,5,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),0,46.2
Nagaland,13,Dimapur,5,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),0,14
Nagaland,13,Dimapur,5,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,29.9
Nagaland,13,Dimapur,5,Treatment of Childhood Diseases,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.6,3.6
Nagaland,13,Dimapur,5,Treatment of Childhood Diseases,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),36.7,40.2
Nagaland,13,Dimapur,5,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth15 (%),53.1,45.1
Nagaland,13,Dimapur,5,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed16 (%),0,35.8
Nagaland,13,Dimapur,5,Child Feeding Practices and Nutritional Status of Children,Children age 68 months receiving solid or semisolid food and breastmilk16 (%),0,75.7
Nagaland,13,Dimapur,5,Child Feeding Practices and Nutritional Status of Children,"Breastfeeding children age 623 months receiving an adequate diet16, 17 (%)",11.2,16.1
Nagaland,13,Dimapur,5,Child Feeding Practices and Nutritional Status of Children,"Nonbreastfeeding children age 623 months receiving an adequate diet16, 17 (%)",22.6,35.9
Nagaland,13,Dimapur,5,Child Feeding Practices and Nutritional Status of Children,"Total children age 623 months receiving an adequate diet16, 17 (%)",17.3,21.9
Nagaland,13,Dimapur,5,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (heightforage)18 (%),28.3,21.3
Nagaland,13,Dimapur,5,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weightforheight)18 (%),25,8.1
Nagaland,13,Dimapur,5,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weightforheight)19 (%),12,3.1
Nagaland,13,Dimapur,5,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weightforage)18 (%),29.8,14.9
Nagaland,13,Dimapur,5,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weightforheight)20 (%),3.8,2.6
Nagaland,13,Dimapur,5,Nutritional Status of Women,Women whose Body Mass Index (BMI) is below normal (BMI <18,9.6,13.7
Nagaland,13,Dimapur,5,Nutritional Status of Women,Women who are overweight or obese (BMI ‚â•25,21.1,22.6
Nagaland,13,Dimapur,5,Nutritional Status of Women,Women who have high risk waisttohip ratio (‚â•0,59.9,0
Nagaland,13,Dimapur,5,Anaemia among Children and Women,Children age 659 months who are anaemic (<11,48.9,15.2
Nagaland,13,Dimapur,5,Anaemia among Children and Women,Nonpregnant women age 1549 years who are anaemic (<12,34.8,24.9
Nagaland,13,Dimapur,5,Anaemia among Children and Women,Pregnant women age 1549 years who are anaemic (<11,32.9,30.1
Nagaland,13,Dimapur,5,Anaemia among Children and Women,All women age 1549 years who are anaemic22 (%),34.7,25.2
Nagaland,13,Dimapur,5,Anaemia among Children and Women,All women age 1519 years who are anaemic22 (%),36.7,24.7
Nagaland,13,Dimapur,5,Blood Sugar Level among women,Blood sugar level  high (141160 mg/dl)23 (%),6.8,0
Nagaland,13,Dimapur,5,Blood Sugar Level among women,Blood sugar level  very high (>160 mg/dl)23 (%),4.7,0
Nagaland,13,Dimapur,5,Blood Sugar Level among women,Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),12,0
Nagaland,13,Dimapur,5,Blood Sugar Level among men,Blood sugar level  high (141160 mg/dl)23 (%),5.6,0
Nagaland,13,Dimapur,5,Blood Sugar Level among men,Blood sugar level  very high (>160 mg/dl)23 (%),7.4,0
Nagaland,13,Dimapur,5,Blood Sugar Level among men,Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),14.1,0
Nagaland,13,Dimapur,5,Hypertension among women,Mildly elevated blood pressure (Systolic 140159 mm of Hg and/or Diastolic 9099 mm of Hg) (%),11,0
Nagaland,13,Dimapur,5,Hypertension among women,Moderately or severely elevated blood pressure (Systolic ‚â•160mm of Hg and/or Diastolic ‚â•100mm of Hg) (%),5.2,0
Nagaland,13,Dimapur,5,Hypertension among women,Elevated blood pressure (Systolic ‚â•140 mm of Hg and/or Diastolic ‚â•90 mm of Hg) or taking medicine to control blood pressure (%),18.6,0
Nagaland,13,Dimapur,5,Hypertension among men,Mildly elevated blood pressure (Systolic 140159 mm of Hg and/or Diastolic 9099 mm of Hg) (%),12,0
Nagaland,13,Dimapur,5,Hypertension among men,Moderately or severely elevated blood pressure (Systolic ‚â•160mm of Hg and/or Diastolic ‚â•100mm of Hg) (%),6.9,0
Nagaland,13,Dimapur,5,Hypertension among men,Elevated blood pressure (Systolic ‚â•140 mm of Hg and/or Diastolic ‚â•90 mm of Hg) or taking medicine to control blood pressure (%),20.8,0
Nagaland,13,Dimapur,5,Screening for Cancer among Women,Ever undergone a screening test for cervical cancer (%),0.2,0
Nagaland,13,Dimapur,5,Screening for Cancer among Women,Ever undergone a breast examination for breast cancer (%),0,0
Nagaland,13,Dimapur,5,Screening for Cancer among Women,Ever undergone an oral cavity examination for oral cancer (%),0.7,0
Nagaland,13,Dimapur,5,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who use any kind of tobacco (%),16.4,0
Nagaland,13,Dimapur,5,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who use any kind of tobacco (%),44,0
Nagaland,13,Dimapur,5,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who consume alcohol (%),1.7,0
Nagaland,13,Dimapur,5,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who consume alcohol (%),25.7,0
Nagaland,13,Kiphire,9,Population and Household Profile,Female population age 6 years and above who ever attended school (%),77.4,78.3
Nagaland,13,Kiphire,9,Population and Household Profile,Population below age 15 years (%),32.4,37.5
Nagaland,13,Kiphire,9,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",954,964
Nagaland,13,Kiphire,9,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",871,1037
Nagaland,13,Kiphire,9,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),72.3,69.8
Nagaland,13,Kiphire,9,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),28.1,0
Nagaland,13,Kiphire,9,Population and Household Profile,Population living in households with electricity (%),97.9,98.3
Nagaland,13,Kiphire,9,Population and Household Profile,Population living in households with an improved drinkingwater source1 (%),90.9,86.4
Nagaland,13,Kiphire,9,Population and Household Profile,Population living in households that use an improved sanitation facility2 (%),83.1,80.4
Nagaland,13,Kiphire,9,Population and Household Profile,Households using clean fuel for cooking3 (%),16.4,11.1
Nagaland,13,Kiphire,9,Population and Household Profile,Households using iodized salt (%),99.7,99.3
Nagaland,13,Kiphire,9,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),8.8,7.9
Nagaland,13,Kiphire,9,Population and Household Profile,Children age 5 years who attended preprimary school during the school year 201920 (%),3.5,0
Nagaland,13,Kiphire,9,Characteristics of Women,Women who are literate4 (%),73.7,0
Nagaland,13,Kiphire,9,Characteristics of Women,Women with 10 or more years of schooling (%),22,20.7
Nagaland,13,Kiphire,9,Marriage and Fertility,Women age 2024 years married before age 18 years (%),22.5,16.8
Nagaland,13,Kiphire,9,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),2.4,5.1
Nagaland,13,Kiphire,9,Marriage and Fertility,Women age 1519 years who were already mothers or pregnant at the time of the survey (%),9,3.5
Nagaland,13,Kiphire,9,Marriage and Fertility,Women age 1524 years who use hygienic methods of protection during their menstrual period5 (%),69.1,64
Nagaland,13,Kiphire,9,Current Use of Family Planning Methods,Any method6 (%),42.5,31.1
Nagaland,13,Kiphire,9,Current Use of Family Planning Methods,Any modern method6 (%),32.7,24.2
Nagaland,13,Kiphire,9,Current Use of Family Planning Methods,Female sterilization (%),5.8,11.2
Nagaland,13,Kiphire,9,Current Use of Family Planning Methods,Male sterilization (%),0,0
Nagaland,13,Kiphire,9,Current Use of Family Planning Methods,IUD/PPIUD (%),20.2,10.8
Nagaland,13,Kiphire,9,Current Use of Family Planning Methods,Pill (%),3.8,0.4
Nagaland,13,Kiphire,9,Current Use of Family Planning Methods,Condom (%),2.5,1.2
Nagaland,13,Kiphire,9,Current Use of Family Planning Methods,Injectables (%),0.2,0
Nagaland,13,Kiphire,9,Unmet Need for Family Planning,Total unmet need7 (%),17.3,17.7
Nagaland,13,Kiphire,9,Unmet Need for Family Planning,Unmet need for spacing7 (%),10.2,11.1
Nagaland,13,Kiphire,9,Quality of Family Planning Services,Health worker ever talked to female nonusers about family planning (%),9.7,10.1
Nagaland,13,Kiphire,9,Quality of Family Planning Services,Current users ever told about side effects of current method8 (%),66.1,56.7
Nagaland,13,Kiphire,9,Maternal and Child Health,Mothers who had an antenatal checkup in the first trimester (%),27.2,14.1
Nagaland,13,Kiphire,9,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),5.8,2
Nagaland,13,Kiphire,9,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus9 (%),63,53.6
Nagaland,13,Kiphire,9,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),1.6,1.4
Nagaland,13,Kiphire,9,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),0.8,0.7
Nagaland,13,Kiphire,9,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.4,72.6
Nagaland,13,Kiphire,9,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),31.9,13.9
Nagaland,13,Kiphire,9,Maternal and Child Health,Average outofpocket expenditure per delivery in a public health facility (Rs,6288,3606
Nagaland,13,Kiphire,9,Maternal and Child Health,Children born at home who were taken to a health facility for a checkup within 24 hours of birth (%),2.1,0
Nagaland,13,Kiphire,9,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),33.5,0
Nagaland,13,Kiphire,9,Delivery Care,Institutional births (%),34.8,24.7
Nagaland,13,Kiphire,9,Delivery Care,Institutional births in public facility (%),33.8,23.6
Nagaland,13,Kiphire,9,Delivery Care,Home births that were conducted by skilled health personnel10 (%),11.9,5.5
Nagaland,13,Kiphire,9,Delivery Care,Births attended by skilled health personnel10 (%),46.7,30
Nagaland,13,Kiphire,9,Delivery Care,Births delivered by caesarean section (%),2.1,1.6
Nagaland,13,Kiphire,9,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),0,0
Nagaland,13,Kiphire,9,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),5.1,4.8
Nagaland,13,Kiphire,9,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),42.8,36
Nagaland,13,Kiphire,9,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months fully vaccinated based on information from vaccination card only12 (%),73.5,83.5
Nagaland,13,Kiphire,9,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received BCG (%),82.1,65.7
Nagaland,13,Kiphire,9,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of polio vaccine13 (%),53.1,56.3
Nagaland,13,Kiphire,9,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of penta or DPT vaccine (%),60.2,44.5
Nagaland,13,Kiphire,9,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received the first dose of measlescontaining vaccine (MCV) (%),66.2,50.2
Nagaland,13,Kiphire,9,Child Vaccinations and Vitamin A Supplementation,Children age 2435 months who have received a second dose of measlescontaining vaccine (MCV) (%),21.4,0
Nagaland,13,Kiphire,9,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of rotavirus vaccine14 (%),9.8,0
Nagaland,13,Kiphire,9,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who have received 3 doses of penta or hepatitis B vaccine (%),49.3,38.9
Nagaland,13,Kiphire,9,Child Vaccinations and Vitamin A Supplementation,Children age 935 months who received a vitamin A dose in the last 6 months (%),42.3,21.7
Nagaland,13,Kiphire,9,Child Vaccinations and Vitamin A Supplementation,Children age 1223 months who received most of their vaccinations in a public health facility (%),91.3,100
Nagaland,13,Kiphire,9,Treatment of Childhood Diseases,Children age 1223 months who received most of their vaccinations in a private health facility (%),2.1,0
Nagaland,13,Kiphire,9,Treatment of Childhood Diseases,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.9,8.3
Nagaland,13,Kiphire,9,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),0,54.3
Nagaland,13,Kiphire,9,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),0,11
Nagaland,13,Kiphire,9,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,6.1
Nagaland,13,Kiphire,9,Treatment of Childhood Diseases,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6,1
Nagaland,13,Kiphire,9,Treatment of Childhood Diseases,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,0
Nagaland,13,Kiphire,9,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth15 (%),55.5,39.3
Nagaland,13,Kiphire,9,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed16 (%),44.8,33.4
Nagaland,13,Kiphire,9,Child Feeding Practices and Nutritional Status of Children,Children age 68 months receiving solid or semisolid food and breastmilk16 (%),0,0
Nagaland,13,Kiphire,9,Child Feeding Practices and Nutritional Status of Children,"Breastfeeding children age 623 months receiving an adequate diet16, 17 (%)",13.9,21.7
Nagaland,13,Kiphire,9,Child Feeding Practices and Nutritional Status of Children,"Nonbreastfeeding children age 623 months receiving an adequate diet16, 17 (%)",7.5,24.5
Nagaland,13,Kiphire,9,Child Feeding Practices and Nutritional Status of Children,"Total children age 623 months receiving an adequate diet16, 17 (%)",12,22.7
Nagaland,13,Kiphire,9,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (heightforage)18 (%),36.9,41.8
Nagaland,13,Kiphire,9,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weightforheight)18 (%),11,13.9
Nagaland,13,Kiphire,9,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weightforheight)19 (%),5.8,6.4
Nagaland,13,Kiphire,9,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weightforage)18 (%),25,25.6
Nagaland,13,Kiphire,9,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weightforheight)20 (%),7.5,1.7
Nagaland,13,Kiphire,9,Nutritional Status of Women,Women whose Body Mass Index (BMI) is below normal (BMI <18,13.9,12.2
Nagaland,13,Kiphire,9,Nutritional Status of Women,Women who are overweight or obese (BMI ‚â•25,9.3,9
Nagaland,13,Kiphire,9,Nutritional Status of Women,Women who have high risk waisttohip ratio (‚â•0,58.7,0
Nagaland,13,Kiphire,9,Anaemia among Children and Women,Children age 659 months who are anaemic (<11,55.2,25.6
Nagaland,13,Kiphire,9,Anaemia among Children and Women,Nonpregnant women age 1549 years who are anaemic (<12,31.9,29.2
Nagaland,13,Kiphire,9,Anaemia among Children and Women,Pregnant women age 1549 years who are anaemic (<11,19.5,35.3
Nagaland,13,Kiphire,9,Anaemia among Children and Women,All women age 1549 years who are anaemic22 (%),31.4,29.6
Nagaland,13,Kiphire,9,Anaemia among Children and Women,All women age 1519 years who are anaemic22 (%),36,33.7
Nagaland,13,Kiphire,9,Blood Sugar Level among women,Blood sugar level  high (141160 mg/dl)23 (%),5.7,0
Nagaland,13,Kiphire,9,Blood Sugar Level among women,Blood sugar level  very high (>160 mg/dl)23 (%),2,0
Nagaland,13,Kiphire,9,Blood Sugar Level among women,Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),7.8,0
Nagaland,13,Kiphire,9,Blood Sugar Level among men,Blood sugar level  high (141160 mg/dl)23 (%),7,0
Nagaland,13,Kiphire,9,Blood Sugar Level among men,Blood sugar level  very high (>160 mg/dl)23 (%),3.7,0
Nagaland,13,Kiphire,9,Blood Sugar Level among men,Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),11.7,0
Nagaland,13,Kiphire,9,Hypertension among women,Mildly elevated blood pressure (Systolic 140159 mm of Hg and/or Diastolic 9099 mm of Hg) (%),10.2,0
Nagaland,13,Kiphire,9,Hypertension among women,Moderately or severely elevated blood pressure (Systolic ‚â•160mm of Hg and/or Diastolic ‚â•100mm of Hg) (%),4.1,0
Nagaland,13,Kiphire,9,Hypertension among women,Elevated blood pressure (Systolic ‚â•140 mm of Hg and/or Diastolic ‚â•90 mm of Hg) or taking medicine to control blood pressure (%),15.3,0
Nagaland,13,Kiphire,9,Hypertension among men,Mildly elevated blood pressure (Systolic 140159 mm of Hg and/or Diastolic 9099 mm of Hg) (%),15.3,0
Nagaland,13,Kiphire,9,Hypertension among men,Moderately or severely elevated blood pressure (Systolic ‚â•160mm of Hg and/or Diastolic ‚â•100mm of Hg) (%),5.2,0
Nagaland,13,Kiphire,9,Hypertension among men,Elevated blood pressure (Systolic ‚â•140 mm of Hg and/or Diastolic ‚â•90 mm of Hg) or taking medicine to control blood pressure (%),22,0
Nagaland,13,Kiphire,9,Screening for Cancer among Women,Ever undergone a screening test for cervical cancer (%),1.2,0
Nagaland,13,Kiphire,9,Screening for Cancer among Women,Ever undergone a breast examination for breast cancer (%),1.1,0
Nagaland,13,Kiphire,9,Screening for Cancer among Women,Ever undergone an oral cavity examination for oral cancer (%),0.9,0
Nagaland,13,Kiphire,9,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who use any kind of tobacco (%),10.1,0
Nagaland,13,Kiphire,9,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who use any kind of tobacco (%),44.2,0
Nagaland,13,Kiphire,9,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who consume alcohol (%),1,0
Nagaland,13,Kiphire,9,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who consume alcohol (%),15.8,0
Nagaland,13,Kohima,10,Population and Household Profile,Female population age 6 years and above who ever attended school (%),90.4,86.2
Nagaland,13,Kohima,10,Population and Household Profile,Population below age 15 years (%),18.7,28.8
Nagaland,13,Kohima,10,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",954,1000
Nagaland,13,Kohima,10,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1075,1137
Nagaland,13,Kohima,10,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),78.3,79.1
Nagaland,13,Kohima,10,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),42.8,0
