State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Odisha,21,Anugul,Anugul_15,15,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),85.7,36.9
Odisha,21,Anugul,Anugul_15,15,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),75.8,44
Odisha,21,Anugul,Anugul_15,15,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,75.3,37.4
Odisha,21,Anugul,Anugul_15,15,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,75.8,43.5
Odisha,21,Anugul,Anugul_15,15,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,75.7,58
Odisha,21,Anugul,Anugul_15,15,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.2,0
Odisha,21,Anugul,Anugul_15,15,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),9.1,0
Odisha,21,Anugul,Anugul_15,15,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),8.1,0
Odisha,21,Anugul,Anugul_15,15,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),8.4,0
Odisha,21,Anugul,Anugul_15,15,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.1,0
Odisha,21,Anugul,Anugul_15,15,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),6.5,0
Odisha,21,Anugul,Anugul_15,15,Characteristics of Women,Women who are literate (%),72.4,0
Odisha,21,Anugul,Anugul_15,15,Characteristics of Women,Women with 10 or more years of schooling (%),33.7,27.6
Odisha,21,Anugul,Anugul_15,15,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),18.7,6.4
Odisha,21,Anugul,Anugul_15,15,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Odisha,21,Anugul,Anugul_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),3.5,1.4
Odisha,21,Anugul,Anugul_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),7.7,7.7
Odisha,21,Anugul,Anugul_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),28.1,31.8
Odisha,21,Anugul,Anugul_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),30.5,35.3
Odisha,21,Anugul,Anugul_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),25.1,21.6
Odisha,21,Anugul,Anugul_15,15,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),67.4,77.3
Odisha,21,Anugul,Anugul_15,15,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),0,0
Odisha,21,Anugul,Anugul_15,15,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Odisha,21,Anugul,Anugul_15,15,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),18.7,7
Odisha,21,Anugul,Anugul_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),87,88.9
Odisha,21,Anugul,Anugul_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),86.5,92.4
Odisha,21,Anugul,Anugul_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.3,99.2
Odisha,21,Anugul,Anugul_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),94.3,91.4
Odisha,21,Anugul,Anugul_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),88.8,93.8
Odisha,21,Anugul,Anugul_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),83.2,0
Odisha,21,Anugul,Anugul_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),98.2,100
Odisha,21,Anugul,Anugul_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),96.1,94.3
Odisha,21,Anugul,Anugul_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.5,100
Odisha,21,Anugul,Anugul_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),38.3,0
Odisha,21,Anugul,Anugul_15,15,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),88.9,78.1
Odisha,21,Anugul,Anugul_15,15,Current Use of Family Planning Methods,Any method (%),85.8,67
Odisha,21,Anugul,Anugul_15,15,Current Use of Family Planning Methods,Any modern method (%),52.6,48.6
