State,ST_CEN_CD,District,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Punjab,3,Amritsar,15,Population and Household Profile,Female population age 6 years and above who ever attended school (%),78,77.4
Punjab,3,Amritsar,15,Population and Household Profile,Population below age 15 years (%),22.9,26.3
Punjab,3,Amritsar,15,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",921,916
Punjab,3,Amritsar,15,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1037,772
Punjab,3,Amritsar,15,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),99.6,97.5
Punjab,3,Amritsar,15,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),90.7,0
Punjab,3,Amritsar,15,Population and Household Profile,Population living in households with electricity (%),99.9,99.4
Punjab,3,Amritsar,15,Population and Household Profile,Population living in households with an improved drinking-water source1 (%),99.6,100
Punjab,3,Amritsar,15,Population and Household Profile,Population living in households that use an improved sanitation facility2 (%),86,79.2
Punjab,3,Amritsar,15,Population and Household Profile,Households using clean fuel for cooking3 (%),82.9,72.8
Punjab,3,Amritsar,15,Population and Household Profile,Households using iodized salt (%),88.9,99.5
Punjab,3,Amritsar,15,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),26.2,19.7
Punjab,3,Amritsar,15,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.6,0
Punjab,3,Amritsar,15,Characteristics of Women,Women who are literate4 (%),80.2,0
Punjab,3,Amritsar,15,Characteristics of Women,Women with 10 or more years of schooling (%),56.7,53.1
Punjab,3,Amritsar,15,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),9.2,10.3
Punjab,3,Amritsar,15,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),2,0.8
Punjab,3,Amritsar,15,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.4,0.7
Punjab,3,Amritsar,15,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),96,88.9
Punjab,3,Amritsar,15,Current Use of Family Planning Methods,Any method6 (%),68.9,81
Punjab,3,Amritsar,15,Current Use of Family Planning Methods,Any modern method6 (%),57.6,71.6
Punjab,3,Amritsar,15,Current Use of Family Planning Methods,Female sterilization (%),26.2,36.9
Punjab,3,Amritsar,15,Current Use of Family Planning Methods,Male sterilization (%),0.8,1.2
Punjab,3,Amritsar,15,Current Use of Family Planning Methods,IUD/PPIUD (%),2.7,9.3
Punjab,3,Amritsar,15,Current Use of Family Planning Methods,Pill (%),0.6,2.2
Punjab,3,Amritsar,15,Current Use of Family Planning Methods,Condom (%),26.3,22.1
Punjab,3,Amritsar,15,Current Use of Family Planning Methods,Injectables (%),0,0
Punjab,3,Amritsar,15,Unmet Need for Family Planning,Total unmet need7 (%),9.7,4
Punjab,3,Amritsar,15,Unmet Need for Family Planning,Unmet need for spacing7 (%),3.7,1.7
Punjab,3,Amritsar,15,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),24.5,22.5
Punjab,3,Amritsar,15,Quality of Family Planning Services,Current users ever told about side effects of current method8 (%),81.7,87.8
Punjab,3,Amritsar,15,Maternal and Child Health,Mothers who had an antenatal check-up in the first trimester (%),70.9,85.2
Punjab,3,Amritsar,15,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),56.5,76.1
Punjab,3,Amritsar,15,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus9 (%),85.9,98.5
Punjab,3,Amritsar,15,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),45.1,43.9
Punjab,3,Amritsar,15,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),27.3,13.2
Punjab,3,Amritsar,15,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.6,97.4
Punjab,3,Amritsar,15,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.1,88.3
Punjab,3,Amritsar,15,Maternal and Child Health,Average out-of-pocket expenditure per delivery in a public health facility (Rs,3822,1949
Punjab,3,Amritsar,15,Maternal and Child Health,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0,0
Punjab,3,Amritsar,15,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.5,0
Punjab,3,Amritsar,15,Delivery Care,Institutional births (%),95.9,90
Punjab,3,Amritsar,15,Delivery Care,Institutional births in public facility (%),49.1,54.3
Punjab,3,Amritsar,15,Delivery Care,Home births that were conducted by skilled health personnel10 (%),2.9,3.5
Punjab,3,Amritsar,15,Delivery Care,Births attended by skilled health personnel10 (%),98.8,92.5
Punjab,3,Amritsar,15,Delivery Care,Births delivered by caesarean section (%),43.3,25.3
Punjab,3,Amritsar,15,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),61.3,50.2
Punjab,3,Amritsar,15,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),29.7,13.6
Punjab,3,Amritsar,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),65.8,91.9
Punjab,3,Amritsar,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),74.3,91.4
Punjab,3,Amritsar,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),96.1,98.5
Punjab,3,Amritsar,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine13 (%),74,96.8
Punjab,3,Amritsar,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),85.2,96.8
Punjab,3,Amritsar,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),89.4,91.9
Punjab,3,Amritsar,15,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),18.5,0
Punjab,3,Amritsar,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),60.7,0
Punjab,3,Amritsar,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),82.8,93.7
Punjab,3,Amritsar,15,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),66.9,68.3
Punjab,3,Amritsar,15,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.2,86
Punjab,3,Amritsar,15,Treatment of Childhood Diseases,Children age 12-23 months who received most of their vaccinations in a private health facility (%),6.8,14
Punjab,3,Amritsar,15,Treatment of Childhood Diseases,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.9,4.3
Punjab,3,Amritsar,15,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),0,0
Punjab,3,Amritsar,15,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),0,0
Punjab,3,Amritsar,15,Treatment of Childhood Diseases,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,0
Punjab,3,Amritsar,15,Treatment of Childhood Diseases,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6,3.1
Punjab,3,Amritsar,15,Treatment of Childhood Diseases,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),0,89.4
Punjab,3,Amritsar,15,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth15 (%),56.8,33.5
