State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Sikkim,11,East District,East Sikkim_4,4,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),44.6,46
Sikkim,11,East District,East Sikkim_4,4,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),43.3,34.4
Sikkim,11,East District,East Sikkim_4,4,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,49.8,49.7
Sikkim,11,East District,East Sikkim_4,4,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,43.3,34.6
Sikkim,11,East District,East Sikkim_4,4,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,0,0
Sikkim,11,East District,East Sikkim_4,4,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.8,0
Sikkim,11,East District,East Sikkim_4,4,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),8.1,0
Sikkim,11,East District,East Sikkim_4,4,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),6.7,0
Sikkim,11,East District,East Sikkim_4,4,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),7.4,0
Sikkim,11,East District,East Sikkim_4,4,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.6,0
Sikkim,11,East District,East Sikkim_4,4,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),5.5,0
Sikkim,11,East District,East Sikkim_4,4,Characteristics of Women,Women who are literate (%),90.1,0
Sikkim,11,East District,East Sikkim_4,4,Characteristics of Women,Women with 10 or more years of schooling (%),53.2,43.4
Sikkim,11,East District,East Sikkim_4,4,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),21.8,26
Sikkim,11,East District,East Sikkim_4,4,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Sikkim,11,East District,East Sikkim_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),6.5,6.2
Sikkim,11,East District,East Sikkim_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),5.6,5.2
Sikkim,11,East District,East Sikkim_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),17.8,24
Sikkim,11,East District,East Sikkim_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),13,11.2
Sikkim,11,East District,East Sikkim_4,4,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),14.3,11.9
Sikkim,11,East District,East Sikkim_4,4,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),27.1,61.3
Sikkim,11,East District,East Sikkim_4,4,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),0,0
Sikkim,11,East District,East Sikkim_4,4,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Sikkim,11,East District,East Sikkim_4,4,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),25.2,26
Sikkim,11,East District,East Sikkim_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),0,0
Sikkim,11,East District,East Sikkim_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),0,0
Sikkim,11,East District,East Sikkim_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),0,0
Sikkim,11,East District,East Sikkim_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),0,0
Sikkim,11,East District,East Sikkim_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),0,0
Sikkim,11,East District,East Sikkim_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0,0
Sikkim,11,East District,East Sikkim_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),0,0
Sikkim,11,East District,East Sikkim_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),0,0
Sikkim,11,East District,East Sikkim_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),0,0
Sikkim,11,East District,East Sikkim_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),0,0
Sikkim,11,East District,East Sikkim_4,4,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),91.2,88.5
Sikkim,11,East District,East Sikkim_4,4,Current Use of Family Planning Methods,Any method (%),54.3,32.1
Sikkim,11,East District,East Sikkim_4,4,Current Use of Family Planning Methods,Any modern method (%),42.8,32.1
Sikkim,11,East District,East Sikkim_4,4,Current Use of Family Planning Methods,Condom (%),9.1,4.5
Sikkim,11,East District,East Sikkim_4,4,Current Use of Family Planning Methods,Female sterilization (%),14.7,12.7
Sikkim,11,East District,East Sikkim_4,4,Current Use of Family Planning Methods,Injectables (%),1.6,2.1
Sikkim,11,East District,East Sikkim_4,4,Current Use of Family Planning Methods,IUD/PPIUD (%),3.9,3.7
Sikkim,11,East District,East Sikkim_4,4,Current Use of Family Planning Methods,Male sterilization (%),0.8,0.8
Sikkim,11,East District,East Sikkim_4,4,Current Use of Family Planning Methods,Pill (%),11.6,8.4
Sikkim,11,East District,East Sikkim_4,4,Delivery Care,Births attended by skilled health personnel (%),94.2,96.5
Sikkim,11,East District,East Sikkim_4,4,Delivery Care,Births delivered by caesarean section (%),36.9,27
