State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Tamil Nadu,33,Ariyalur,Ariyalur_15,15,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),58.8,50.2
Tamil Nadu,33,Ariyalur,Ariyalur_15,15,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),62.4,56.9
Tamil Nadu,33,Ariyalur,Ariyalur_15,15,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,62,47.1
Tamil Nadu,33,Ariyalur,Ariyalur_15,15,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,62.4,57.3
Tamil Nadu,33,Ariyalur,Ariyalur_15,15,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,64.1,46.4
Tamil Nadu,33,Ariyalur,Ariyalur_15,15,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),24.7,0
Tamil Nadu,33,Ariyalur,Ariyalur_15,15,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),13.9,0
Tamil Nadu,33,Ariyalur,Ariyalur_15,15,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),8.7,0
Tamil Nadu,33,Ariyalur,Ariyalur_15,15,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),8.7,0
Tamil Nadu,33,Ariyalur,Ariyalur_15,15,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),22,0
Tamil Nadu,33,Ariyalur,Ariyalur_15,15,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),11.7,0
Tamil Nadu,33,Ariyalur,Ariyalur_15,15,Characteristics of Women,Women who are literate (%),74.6,0
Tamil Nadu,33,Ariyalur,Ariyalur_15,15,Characteristics of Women,Women with 10 or more years of schooling (%),50.7,42.7
