State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Tripura,16,Dhalai,Dhalai_3,3,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),65.4,56.1
Tripura,16,Dhalai,Dhalai_3,3,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),70,56.4
Tripura,16,Dhalai,Dhalai_3,3,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,81.2,50.4
Tripura,16,Dhalai,Dhalai_3,3,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,69.7,56.5
Tripura,16,Dhalai,Dhalai_3,3,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,75.4,55.8
Tripura,16,Dhalai,Dhalai_3,3,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17,0
Tripura,16,Dhalai,Dhalai_3,3,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),8.4,0
Tripura,16,Dhalai,Dhalai_3,3,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),7.8,0
Tripura,16,Dhalai,Dhalai_3,3,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),8.5,0
Tripura,16,Dhalai,Dhalai_3,3,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),14.5,0
Tripura,16,Dhalai,Dhalai_3,3,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),5.7,0
Tripura,16,Dhalai,Dhalai_3,3,Characteristics of Women,Women who are literate (%),71.6,0
Tripura,16,Dhalai,Dhalai_3,3,Characteristics of Women,Women with 10 or more years of schooling (%),13.9,14.5
Tripura,16,Dhalai,Dhalai_3,3,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),14.9,10.8
