State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Telangana,36,Adilabad,Adilabad_1,1,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),68,0
Telangana,36,Adilabad,Adilabad_1,1,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),61.1,64
Telangana,36,Adilabad,Adilabad_1,1,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,76.3,68
Telangana,36,Adilabad,Adilabad_1,1,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,61.1,63
Telangana,36,Adilabad,Adilabad_1,1,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,61,0
Telangana,36,Adilabad,Adilabad_1,1,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.8,5
Telangana,36,Adilabad,Adilabad_1,1,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),5.8,0
Telangana,36,Adilabad,Adilabad_1,1,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),5.9,2
Telangana,36,Adilabad,Adilabad_1,1,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),4.7,7
Telangana,36,Adilabad,Adilabad_1,1,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.8,0
Telangana,36,Adilabad,Adilabad_1,1,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),4.5,3
Telangana,36,Adilabad,Adilabad_1,1,Characteristics of Women,Women who are literate (%),64.8,50
Telangana,36,Adilabad,Adilabad_1,1,Characteristics of Women,Women with 10 or more years of schooling (%),41,28
Telangana,36,Adilabad,Adilabad_1,1,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),9.7,5
Telangana,36,Adilabad,Adilabad_1,1,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Telangana,36,Adilabad,Adilabad_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),2.9,0
Telangana,36,Adilabad,Adilabad_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),12.9,5
Telangana,36,Adilabad,Adilabad_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),45.7,38
Telangana,36,Adilabad,Adilabad_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),52,36
Telangana,36,Adilabad,Adilabad_1,1,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),29.5,22
Telangana,36,Adilabad,Adilabad_1,1,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),20.4,21
Telangana,36,Adilabad,Adilabad_1,1,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),72.2,54
Telangana,36,Adilabad,Adilabad_1,1,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
Telangana,36,Adilabad,Adilabad_1,1,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),9.6,6
Telangana,36,Adilabad,Adilabad_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),69.3,0
Telangana,36,Adilabad,Adilabad_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),73.7,70
Telangana,36,Adilabad,Adilabad_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),81.9,82
Telangana,36,Adilabad,Adilabad_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),81.9,71
Telangana,36,Adilabad,Adilabad_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),72.5,80
Telangana,36,Adilabad,Adilabad_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),7.4,0
Telangana,36,Adilabad,Adilabad_1,1,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),91.6,89
