State,ST_CEN_CD,District,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Uttarakhand,5,Almora,9,Population and Household Profile,Female population age 6 years and above who ever attended school (%),72.3,69.7
Uttarakhand,5,Almora,9,Population and Household Profile,Population below age 15 years (%),23.2,28.8
Uttarakhand,5,Almora,9,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",1331,1259
Uttarakhand,5,Almora,9,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1444,986
Uttarakhand,5,Almora,9,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),91.1,75.8
Uttarakhand,5,Almora,9,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),68.5,0
Uttarakhand,5,Almora,9,Population and Household Profile,Population living in households with electricity (%),99.9,97.4
Uttarakhand,5,Almora,9,Population and Household Profile,Population living in households with an improved drinking-water source1 (%),93.3,82.7
Uttarakhand,5,Almora,9,Population and Household Profile,Population living in households that use an improved sanitation facility2 (%),89.2,66
Uttarakhand,5,Almora,9,Population and Household Profile,Households using clean fuel for cooking3 (%),35.9,26.6
Uttarakhand,5,Almora,9,Population and Household Profile,Households using iodized salt (%),88.1,85.9
Uttarakhand,5,Almora,9,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),66,16.1
Uttarakhand,5,Almora,9,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),40.4,0
Uttarakhand,5,Almora,9,Characteristics of Women,Women who are literate4 (%),86.3,0
Uttarakhand,5,Almora,9,Characteristics of Women,Women with 10 or more years of schooling (%),48,41.1
Uttarakhand,5,Almora,9,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),1.5,9.7
Uttarakhand,5,Almora,9,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),2.3,2.1
Uttarakhand,5,Almora,9,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.7,0.8
Uttarakhand,5,Almora,9,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),88.6,64.2
Uttarakhand,5,Almora,9,Current Use of Family Planning Methods,Any method6 (%),78.6,57.1
Uttarakhand,5,Almora,9,Current Use of Family Planning Methods,Any modern method6 (%),70.5,54.7
Uttarakhand,5,Almora,9,Current Use of Family Planning Methods,Female sterilization (%),37.9,37.4
Uttarakhand,5,Almora,9,Current Use of Family Planning Methods,Male sterilization (%),1.8,1.7
Uttarakhand,5,Almora,9,Current Use of Family Planning Methods,IUD/PPIUD (%),1.6,1.4
Uttarakhand,5,Almora,9,Current Use of Family Planning Methods,Pill (%),4.8,2.4
Uttarakhand,5,Almora,9,Current Use of Family Planning Methods,Condom (%),22.1,11.8
Uttarakhand,5,Almora,9,Current Use of Family Planning Methods,Injectables (%),0.5,0
Uttarakhand,5,Almora,9,Unmet Need for Family Planning,Total unmet need7 (%),6.4,14.8
Uttarakhand,5,Almora,9,Unmet Need for Family Planning,Unmet need for spacing7 (%),2.6,6.3
Uttarakhand,5,Almora,9,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),13.4,16
Uttarakhand,5,Almora,9,Quality of Family Planning Services,Current users ever told about side effects of current method8 (%),68.9,30.5
Uttarakhand,5,Almora,9,Maternal and Child Health,Mothers who had an antenatal check-up in the first trimester (%),52.3,57.7
Uttarakhand,5,Almora,9,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),44.3,31.7
Uttarakhand,5,Almora,9,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus9 (%),87.7,91.4
Uttarakhand,5,Almora,9,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),38.6,35.7
Uttarakhand,5,Almora,9,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),20.9,7.7
Uttarakhand,5,Almora,9,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.4,99.5
Uttarakhand,5,Almora,9,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),78.1,58
Uttarakhand,5,Almora,9,Maternal and Child Health,Average out-of-pocket expenditure per delivery in a public health facility (Rs,3162,3581
Uttarakhand,5,Almora,9,Maternal and Child Health,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),6.7,0
Uttarakhand,5,Almora,9,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),79.6,0
Uttarakhand,5,Almora,9,Delivery Care,Institutional births (%),80.1,66.3
Uttarakhand,5,Almora,9,Delivery Care,Institutional births in public facility (%),69.4,57.8
Uttarakhand,5,Almora,9,Delivery Care,Home births that were conducted by skilled health personnel10 (%),6.2,3.3
Uttarakhand,5,Almora,9,Delivery Care,Births attended by skilled health personnel10 (%),85.4,69.6
Uttarakhand,5,Almora,9,Delivery Care,Births delivered by caesarean section (%),16.3,8.7
Uttarakhand,5,Almora,9,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),0,40.7
Uttarakhand,5,Almora,9,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),13.7,9.1
Uttarakhand,5,Almora,9,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),85.1,60.6
Uttarakhand,5,Almora,9,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),96.3,67.6
Uttarakhand,5,Almora,9,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),96.3,97.8
Uttarakhand,5,Almora,9,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine13 (%),85.1,71.7
Uttarakhand,5,Almora,9,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),85.1,83.7
