State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
Uttar Pradesh,9,Agra,Agra_15,15,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),61.4,46.1
Uttar Pradesh,9,Agra,Agra_15,15,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),59.4,43.1
Uttar Pradesh,9,Agra,Agra_15,15,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,73,51.7
Uttar Pradesh,9,Agra,Agra_15,15,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,59.4,43.3
Uttar Pradesh,9,Agra,Agra_15,15,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,61.8,39.6
Uttar Pradesh,9,Agra,Agra_15,15,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.2,0
Uttar Pradesh,9,Agra,Agra_15,15,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),3.5,0
Uttar Pradesh,9,Agra,Agra_15,15,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),4.3,0
Uttar Pradesh,9,Agra,Agra_15,15,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),3.7,0
Uttar Pradesh,9,Agra,Agra_15,15,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.2,0
Uttar Pradesh,9,Agra,Agra_15,15,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),3.2,0
Uttar Pradesh,9,Agra,Agra_15,15,Characteristics of Women,Women who are literate (%),63.1,0
Uttar Pradesh,9,Agra,Agra_15,15,Characteristics of Women,Women with 10 or more years of schooling (%),36.1,36.6
Uttar Pradesh,9,Agra,Agra_15,15,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),10.7,3.2
Uttar Pradesh,9,Agra,Agra_15,15,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
Uttar Pradesh,9,Agra,Agra_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),3.4,1.2
Uttar Pradesh,9,Agra,Agra_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),4.6,5.2
Uttar Pradesh,9,Agra,Agra_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),35.9,44.7
Uttar Pradesh,9,Agra,Agra_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),26.2,34.8
Uttar Pradesh,9,Agra,Agra_15,15,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),16.4,14.9
Uttar Pradesh,9,Agra,Agra_15,15,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),19.5,18.6
