State,ST_CEN_CD,District Name,DISTRICT,DT_CEN_CD,Category,Indicator,NFHS 5,NFHS 4
West Bengal,19,Bankura,Bankura_13,13,Anaemia among Children and Women,All women age 15-19 years who are anaemic (%),80.3,71.9
West Bengal,19,Bankura,Bankura_13,13,Anaemia among Children and Women,All women age 15-49 years who are anaemic (%),77,66.9
West Bengal,19,Bankura,Bankura_13,13,Anaemia among Children and Women,Children age 6-59 months who are anaemic ,67.1,47.3
West Bengal,19,Bankura,Bankura_13,13,Anaemia among Children and Women,Nonpregnant women age 15-49 years who are anaemic ,77.3,66.9
West Bengal,19,Bankura,Bankura_13,13,Anaemia among Children and Women,Pregnant women age 15-49 years who are anaemic,71.3,66.7
West Bengal,19,Bankura,Bankura_13,13,Blood Sugar Level among men,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),23.8,0
West Bengal,19,Bankura,Bankura_13,13,Blood Sugar Level among men,Male Blood sugar level  very high (>160 mg/dl) (%),10.9,0
West Bengal,19,Bankura,Bankura_13,13,Blood Sugar Level among men,MaleBlood sugar level  high (141-160 mg/dl) (%),11.4,0
West Bengal,19,Bankura,Bankura_13,13,Blood Sugar Level among women,Female Blood sugar level  high (141-160 mg/dl) (%),8.1,0
West Bengal,19,Bankura,Bankura_13,13,Blood Sugar Level among women,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.2,0
West Bengal,19,Bankura,Bankura_13,13,Blood Sugar Level among women,Female Blood sugar level  very high (>160 mg/dl) (%),7.1,0
West Bengal,19,Bankura,Bankura_13,13,Characteristics of Women,Women who are literate (%),68.3,0
West Bengal,19,Bankura,Bankura_13,13,Characteristics of Women,Women with 10 or more years of schooling (%),27.9,23.2
West Bengal,19,Bankura,Bankura_13,13,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),26.2,23.5
West Bengal,19,Bankura,Bankura_13,13,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semisolid food and breastmilk (%),0,0
West Bengal,19,Bankura,Bankura_13,13,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight fo rheight)20 (%),1.9,1.2
West Bengal,19,Bankura,Bankura_13,13,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight for height) (%),8.3,7.8
West Bengal,19,Bankura,Bankura_13,13,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height for age) (%),30.3,34
West Bengal,19,Bankura,Bankura_13,13,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight for age) (%),38.8,39.8
West Bengal,19,Bankura,Bankura_13,13,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight for height) (%),26,27
West Bengal,19,Bankura,Bankura_13,13,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),47.6,54.1
West Bengal,19,Bankura,Bankura_13,13,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),0,0
West Bengal,19,Bankura,Bankura_13,13,Child Feeding Practices and Nutritional Status of Children,Nonbreastfeeding children age 6-23 months receiving an adequate diet (%),0,0
West Bengal,19,Bankura,Bankura_13,13,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),23.8,23
West Bengal,19,Bankura,Bankura_13,13,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),85,96.2
West Bengal,19,Bankura,Bankura_13,13,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),94.6,98.1
West Bengal,19,Bankura,Bankura_13,13,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),93.7,100
West Bengal,19,Bankura,Bankura_13,13,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),74.6,92.1
West Bengal,19,Bankura,Bankura_13,13,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),94.1,98
West Bengal,19,Bankura,Bankura_13,13,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),6.4,0
West Bengal,19,Bankura,Bankura_13,13,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),97.8,100
West Bengal,19,Bankura,Bankura_13,13,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measlescontaining vaccine (MCV) (%),93.5,98.2
West Bengal,19,Bankura,Bankura_13,13,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100,100
West Bengal,19,Bankura,Bankura_13,13,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measlescontaining vaccine (MCV) (%),32.5,0
West Bengal,19,Bankura,Bankura_13,13,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),73.4,86.9
West Bengal,19,Bankura,Bankura_13,13,Current Use of Family Planning Methods,Any method (%),56.7,76.3
West Bengal,19,Bankura,Bankura_13,13,Current Use of Family Planning Methods,Any modern method (%),51.9,69
West Bengal,19,Bankura,Bankura_13,13,Current Use of Family Planning Methods,Condom (%),3.7,3.2
West Bengal,19,Bankura,Bankura_13,13,Current Use of Family Planning Methods,Female sterilization (%),26.6,42.8
West Bengal,19,Bankura,Bankura_13,13,Current Use of Family Planning Methods,Injectables (%),0,0
West Bengal,19,Bankura,Bankura_13,13,Current Use of Family Planning Methods,IUD/PPIUD (%),1.4,0
West Bengal,19,Bankura,Bankura_13,13,Current Use of Family Planning Methods,Male sterilization (%),0,0
West Bengal,19,Bankura,Bankura_13,13,Current Use of Family Planning Methods,Pill (%),19.8,22.9
West Bengal,19,Bankura,Bankura_13,13,Delivery Care,Births attended by skilled health personnel (%),93.8,87.9
West Bengal,19,Bankura,Bankura_13,13,Delivery Care,Births delivered by caesarean section (%),22.7,18
West Bengal,19,Bankura,Bankura_13,13,Delivery Care,Births in a private health facility that were delivered by caesarean section (%),0,0
West Bengal,19,Bankura,Bankura_13,13,Delivery Care,Births in a public health facility that were delivered by caesarean section (%),20.9,13.5
West Bengal,19,Bankura,Bankura_13,13,Delivery Care,Home births that were conducted by skilled health personnel (%),4.7,3.1
West Bengal,19,Bankura,Bankura_13,13,Delivery Care,Institutional births (%),93.3,85.6
West Bengal,19,Bankura,Bankura_13,13,Delivery Care,Institutional births in public facility (%),83.3,71.5
West Bengal,19,Bankura,Bankura_13,13,Hypertension among men,Male Elevated blood pressure or taking medicine to control blood pressure (%),20.3,0
West Bengal,19,Bankura,Bankura_13,13,Hypertension among men,Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.8,0
West Bengal,19,Bankura,Bankura_13,13,Hypertension among men,Male Moderately or severely elevated blood pressure (%),3.2,0
West Bengal,19,Bankura,Bankura_13,13,Hypertension among women,Female Elevated blood pressure or taking medicine to control blood pressure (%),21,0
West Bengal,19,Bankura,Bankura_13,13,Hypertension among women,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.5,0
West Bengal,19,Bankura,Bankura_13,13,Hypertension among women,Female Moderately or severely elevated blood pressure (%),5.1,0
West Bengal,19,Bankura,Bankura_13,13,Marriage and Fertility,Births in the 5 years preceding the survey that are third or higher order (%),0.4,0.7
West Bengal,19,Bankura,Bankura_13,13,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),16,16.6
West Bengal,19,Bankura,Bankura_13,13,Marriage and Fertility,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),79,47.8
West Bengal,19,Bankura,Bankura_13,13,Marriage and Fertility,Women age 2024 years married before age 18 years (%),45.7,39
West Bengal,19,Bankura,Bankura_13,13,Maternal and Child Health,Average out-of-pocket expenditure per delivery in a public health facility (Rs),3274,4980
West Bengal,19,Bankura,Bankura_13,13,Maternal and Child Health,Children born at home who were taken to a health facility for a checkup within 24 hours of birth (%),0,0
West Bengal,19,Bankura,Bankura_13,13,Maternal and Child Health,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),76.5,0
West Bengal,19,Bankura,Bankura_13,13,Maternal and Child Health,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),60.5,46.7
West Bengal,19,Bankura,Bankura_13,13,Maternal and Child Health,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),23.3,16.2
West Bengal,19,Bankura,Bankura_13,13,Maternal and Child Health,Mothers who had an antenatal checkup in the first trimester (%),74.7,65.8
West Bengal,19,Bankura,Bankura_13,13,Maternal and Child Health,Mothers who had at least 4 antenatal care visits (%),75.7,89.5
West Bengal,19,Bankura,Bankura_13,13,Maternal and Child Health,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),67.2,61.8
West Bengal,19,Bankura,Bankura_13,13,Maternal and Child Health,Mothers whose last birth was protected against neonatal tetanus (%),89.5,96.1
West Bengal,19,Bankura,Bankura_13,13,Maternal and Child Health,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.5,97.6
West Bengal,19,Bankura,Bankura_13,13,Nutritional Status of Women,Women who are overweight or obese,13,9.4
West Bengal,19,Bankura,Bankura_13,13,Nutritional Status of Women,Women who have high risk waisttohip ratio,56,0
West Bengal,19,Bankura,Bankura_13,13,Nutritional Status of Women,Women whose Body Mass Index (BMI) is below normal (BMI <18),28,33.3
West Bengal,19,Bankura,Bankura_13,13,Population and Household Profile,Children age 5 years who attended preprimary school during the school year 2019-20 (%),13.1,0
West Bengal,19,Bankura,Bankura_13,13,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),95.6,97.5
West Bengal,19,Bankura,Bankura_13,13,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),64.8,0
West Bengal,19,Bankura,Bankura_13,13,Population and Household Profile,Female population age 6 years and above who ever attended school (%),68.7,67.1
West Bengal,19,Bankura,Bankura_13,13,Population and Household Profile,Households using clean fuel for cooking (%),20.8,16.3
West Bengal,19,Bankura,Bankura_13,13,Population and Household Profile,Households using iodized salt (%),86.8,88.8
West Bengal,19,Bankura,Bankura_13,13,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),43.4,48.6
West Bengal,19,Bankura,Bankura_13,13,Population and Household Profile,Population below age 15 years (%),22.6,24.9
West Bengal,19,Bankura,Bankura_13,13,Population and Household Profile,Population living in households that use an improved sanitation facility (%),49.2,32
West Bengal,19,Bankura,Bankura_13,13,Population and Household Profile,Population living in households with an improved drinkingwater source (%),96.3,97.9
West Bengal,19,Bankura,Bankura_13,13,Population and Household Profile,Population living in households with electricity (%),92.3,90.5
West Bengal,19,Bankura,Bankura_13,13,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",1002,1145
West Bengal,19,Bankura,Bankura_13,13,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",1053,1002
West Bengal,19,Bankura,Bankura_13,13,Quality of Family Planning Services,Current users ever told about side effects of current method (%),43.6,50.3
West Bengal,19,Bankura,Bankura_13,13,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),12.4,16.5
West Bengal,19,Bankura,Bankura_13,13,Screening for Cancer among Women,Ever undergone a breast examination for breast cancer (%),0.2,0
West Bengal,19,Bankura,Bankura_13,13,Screening for Cancer among Women,Ever undergone a screening test for cervical cancer (%),0.4,0
West Bengal,19,Bankura,Bankura_13,13,Screening for Cancer among Women,Ever undergone an oral cavity examination for oral cancer (%),0,0
West Bengal,19,Bankura,Bankura_13,13,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who consume alcohol (%),16,0
West Bengal,19,Bankura,Bankura_13,13,Tobacco Use and Alcohol Consumption among Adults,Men age 15 years and above who use any kind of tobacco (%),47.7,0
West Bengal,19,Bankura,Bankura_13,13,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who consume alcohol (%),0.6,0
West Bengal,19,Bankura,Bankura_13,13,Tobacco Use and Alcohol Consumption among Adults,Women age 15 years and above who use any kind of tobacco (%),21.5,0
West Bengal,19,Bankura,Bankura_13,13,Treatment of Childhood Diseases,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0,0
